from,to
CDK2,AHNAK
CSNK1E,AHNAK
GSK3B,AHNAK
MAPK1,AHNAK
MAPK8,AHNAK
PDK1,AHNAK
PRKACA,AHNAK
PRKACB,AHNAK
PRKCB,AHNAK
RPS6KA3,AHNAK
SGK1,AHNAK
TPTEP2-CSNK1E,AHNAK
AIP,AHR
HSP90AA1,AHR
INPP5J,AHR
MAP4K3,AHR
NR3C1,AHR
PRKCA,AHR
PRKCQ,AHR
ABL1,AHSA1
ATM,AICDA
IL10,AIF1
BAK1,AIFM1
BAX,AIFM1
XIAP,AIFM1
POPDC3,AIM2
MAPK14,AIMP2
TGFB1,AIMP2
IFNG,AIRE
CDK1,AJUBA
CDK1,AKAP12
MAPK1,AKAP12
MAPK1,AKAP4
NFE2L2,AKR7L
ACP1,AKT1
ARHGAP32,AKT1
ARHGEF2,AKT1
ARHGEF6,AKT1
ARHGEF7,AKT1
ATM,AKT1
AURKA,AKT1
AXL,AKT1
CALB2,AKT1
CAMKK2,AKT1
CAV1,AKT1
CBLB,AKT1
CCNA2,AKT1
CD19,AKT1
CD40,AKT1
CD40LG,AKT1
CD55,AKT1
CHRFAM7A,AKT1
COMT,AKT1
CRTC2,AKT1
DAB1,AKT1
DOCK1,AKT1
EDN1,AKT1
EDNRA,AKT1
EGF,AKT1
EIF4E,AKT1
ERBB2,AKT1
ERBB3,AKT1
ERGIC3,AKT1
FASLG,AKT1
FGF2,AKT1
FGF21,AKT1
GAB1,AKT1
GNAI2,AKT1
GNAI3,AKT1
GNAO1,AKT1
GNAZ,AKT1
GRB14,AKT1
GRB2,AKT1
HSPB2,AKT1
HSPB2-C11orf52,AKT1
HSPB6,AKT1
ID1,AKT1
IGF1,AKT1
IKBKE,AKT1
IL2RA,AKT1
IL2RB,AKT1
IL2RG,AKT1
INPP5A,AKT1
INPPL1,AKT1
ITGA6,AKT1
JADE1,AKT1
JAK1,AKT1
JAK3,AKT1
KDR,AKT1
KITLG,AKT1
LAMA1,AKT1
LAMA2,AKT1
LAMA3,AKT1
LAMA4,AKT1
LAMA5,AKT1
LAMB2,AKT1
LAMB3,AKT1
LAMC1,AKT1
LAMC2,AKT1
LAMC3,AKT1
LCK,AKT1
LGI1,AKT1
LIF,AKT1
LIMS1,AKT1
LIMS3,AKT1
LIMS4,AKT1
LRRK2,AKT1
MAPK9,AKT1
MERTK,AKT1
MUL1,AKT1
NRG1,AKT1
OGA,AKT1
OGT,AKT1
OLR1,AKT1
P3R3URF-PIK3R3,AKT1
PARVA,AKT1
PBK,AKT1
PDGFD,AKT1
PDGFRB,AKT1
PDPN,AKT1
PELP1,AKT1
PHGDH,AKT1
PHLPP2,AKT1
PIAS1,AKT1
PIK3AP1,AKT1
PIK3C3,AKT1
PIK3CA,AKT1
PIK3CB,AKT1
PIK3CD,AKT1
PIK3R2,AKT1
PIK3R3,AKT1
PIK3R5,AKT1
PLCG2,AKT1
PPA1,AKT1
PPP1CB,AKT1
PPP1CC,AKT1
PPP2CB,AKT1
PPP2R2A,AKT1
PPP2R5B,AKT1
PPP2R5D,AKT1
PRKCA,AKT1
PRKCB,AKT1
PRR5,AKT1
PTK6,AKT1
PTPA,AKT1
PTPN11,AKT1
PTPRF,AKT1
RALBP1,AKT1
RASA1,AKT1
RASGRF1,AKT1
RBP1,AKT1
RET,AKT1
RHOA,AKT1
S100A4,AKT1
S1PR3,AKT1
SENP1,AKT1
SHC1,AKT1
SHC2,AKT1
SHC3,AKT1
SIRT1,AKT1
SMO,AKT1
SOS1,AKT1
STRN,AKT1
TBK1,AKT1
TNF,AKT1
TNK2,AKT1
TNPO1,AKT1
TNS2,AKT1
TRAF6,AKT1
TYRO3,AKT1
VAV1,AKT1
VAV2,AKT1
VEGFC,AKT1
AKT1,AKT1S1
CDK1,AKT1S1
IGF1,AKT1S1
MAPK14,AKT1S1
PTEN,AKT1S1
MAPK14,AKT2
PIK3CD,AKT2
PLAT,AKT2
PTEN,AKT2
FLT1,AKT3
PIK3CD,AKT3
PTEN,AKT3
TRAF6,AKT3
VEGFA,AKT3
AKT1,AKTIP
S100A9,ALCAM
S100B,ALCAM
ARNT,ALDOA
ESR1,ALDOA
HIF1A,ALDOA
IGF1R,ALK
EGF,ALKBH5
IL12B,ALOX12B
MAPK1,ALOX5
TGFB1,ALOX5
IL2,ALPK3
CREBBP,ALX1
MTOR,AMBRA1
BMP2,AMHR2
BMP7,AMHR2
MTOR,AMOTL2
CDK1,AMPH
MAPK1,AMPH
HSPB1,ANAPC1
HSPB1,ANAPC10
HSPB1,ANAPC11
HSPB1,ANAPC2
HSPB1,ANAPC4
ATM,ANAPC5
HSPB1,ANAPC5
HSPB1,ANAPC7
CDK1,ANK1
MAPK14,ANK1
CDK1,ANK2
RHOA,ANKRD1
MTOR,ANKRD17
AKT1,ANKRD2
BMPR2,ANKS1A
EGFR,ANKS1A
WNK1,ANKS1A
EGFR,ANKS1B
CDK1,ANLN
MAPK14,ANLN
FURIN,ANTXR2
ANXA5,ANXA2
BMX,ANXA2
CSK,ANXA2
F3,ANXA2
FGFR1,ANXA2
HLF,ANXA2
