L1,L2,L3,R1,R2,R3,original_row_index,old_LR_ID,new_LR_ID,ligand_complex_key,receptor_complex_key,LR_complex_key,interaction_class,ligand_component_count,receptor_component_count,LR_simplex_key,src_CellChatDB,src_NicheNet,src_CellPhoneDB,src_CellTalkDB,src_CITEdb,src_connectomeDB2020,src_exFINDER,src_ICELLNET,src_NATMI,src_STRING,src_SingleCellSignalR,src_LIANA_plus,src_connectomeDB2025,source_databases,source_database_count,resource_membership_count,primary_source_count,legacy_sources,update_sources,LIANA_consensus_member,LIANA_underlying_sources,LIANA_references,ConnectomeDB2025_member,ConnectomeDB2025_exact_support,ConnectomeDB2025_match_type,ConnectomeDB2025_component_support,ConnectomeDB2025_component_support_complete,ConnectomeDB2025_evidence,ConnectomeDB2025_PMIDs,ConnectomeDB2025_component_PMIDs,unique_PMIDs,PMID_count,experimental_evidence_count,species_support_type,orthology_inferred,orthology_source,gene_symbol_mapping_status,is_valid_LR,provenance_status,previously_removed_invalid_source,rescued_by_valid_source,quality_flags,related_complex_id,legacy_member,legacy_contexts,legacy_files,species,species_scientific_name,taxid,context,context_assignment,ConnectomeDB2025_evidence_all,ConnectomeDB2025_evidence_best,n_exact_duplicates_merged,merged_from_row_indices,n_contained_interactions_removed_under_this_LR
F2,,,GP1BA,GP1BB,,11,DEVCOMLR:10090:FFBB06C9BECA,mouse_development_LR000011,F2,GP1BA|GP1BB,F2>>GP1BA|GP1BB,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,component_support,1,0,,,2933256;11024046,2933256;11024046,2,2,Legacy_native,0,,,1,unresolved_legacy,0,0,component_only_support;unresolved_provenance;complex_interaction;dominant_complex,,1,development,mouse_L_R_development.csv,mouse,Mus musculus,10090,development,legacy_context_member,,,0,,2
F2,,,ITGA2B,ITGB3,,12,DEVCOMLR:10090:D768B6AC217D,mouse_development_LR000012,F2,ITGA2B|ITGB3,F2>>ITGA2B|ITGB3,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance;complex_interaction;dominant_complex,,1,development,mouse_L_R_development.csv,mouse,Mus musculus,10090,development,legacy_context_member,,,0,,1
F2,,,ITGAV,ITGB3,,13,DEVCOMLR:10090:F2337F350FD5,mouse_development_LR000013,F2,ITGAV|ITGB3,F2>>ITGAV|ITGB3,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance;complex_interaction,,1,development,mouse_L_R_development.csv,mouse,Mus musculus,10090,development,legacy_context_member,,,0,,0
F2,,,THBD,,,14,DEVCOMLR:10090:D1437C7AD3AC,mouse_development_LR000014,F2,THBD,F2>>THBD,simple,1,1,F2>>THBD,0,0,0,0,0,0,0,0,0,0,0,1,0,LIANA+,1,1,0,,LIANA+,1,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,MGI_symbols_from_LIANA,1,legacy_plus_LIANA,0,0,single_source,,1,development,mouse_L_R_development.csv,mouse,Mus musculus,10090,development,legacy_context_member,,,0,,0
a,,,MC1R,,,15,DEVCOMLR:10090:D9DC25F9C810,mouse_development_LR000015,A,MC1R,A>>MC1R,simple,1,1,A>>MC1R,0,0,0,0,0,0,0,0,0,0,0,1,1,LIANA+;connectomeDB2025,2,2,1,,LIANA+;connectomeDB2025,1,,,1,1,exact_simplex,0,0,Inferred,9058374,9058374,9058374,1,1,Legacy_native,0,,MGI_species_specific_table;MGI_symbols_from_LIANA,1,legacy_plus_both,0,0,multiple_sources;orthology_inferred,,1,development,mouse_L_R_development.csv,mouse,Mus musculus,10090,development,legacy_context_member,Inferred,Inferred,0,,0
AGT,,,Agtr1a,,,16,DEVCOMLR:10090:22E211857DBF,mouse_development_LR000016,AGT,AGTR1A,AGT>>AGTR1A,simple,1,1,AGT>>AGTR1A,0,0,0,0,0,0,0,0,0,0,0,1,1,LIANA+;connectomeDB2025,2,2,1,,LIANA+;connectomeDB2025,1,,,1,1,exact_simplex,0,0,Direct,2775266;10193788;10993080;12006574;15930094;17138938;21464395;37540598,2775266;10193788;10993080;12006574;15930094;17138938;21464395;37540598,2775266;10193788;10993080;12006574;15930094;17138938;21464395;37540598,8,8,Direct,0,,MGI_species_specific_table;MGI_symbols_from_LIANA,1,legacy_plus_both,0,0,multiple_sources;direct_experimental_support,,1,development,mouse_L_R_development.csv,mouse,Mus musculus,10090,development,legacy_context_member,Direct,Direct,0,,0
Ccl2,,,ACKR2,,,17,DEVCOMLR:10090:B31BE53D03B4,mouse_development_LR000017,CCL2,ACKR2,CCL2>>ACKR2,simple,1,1,CCL2>>ACKR2,0,0,0,0,0,0,0,0,0,0,0,1,1,LIANA+;connectomeDB2025,2,2,1,,LIANA+;connectomeDB2025,1,,,1,1,exact_simplex,0,0,Inferred,9405404,9405404,9405404,1,1,Legacy_native,0,,MGI_species_specific_table;MGI_symbols_from_LIANA,1,legacy_plus_both,0,0,multiple_sources;orthology_inferred,,1,development,mouse_L_R_development.csv,mouse,Mus musculus,10090,development,legacy_context_member,Inferred,Inferred,0,,0
Ccl2,,,CCR2,,,18,DEVCOMLR:10090:BCBF858F04D0,mouse_development_LR000018,CCL2,CCR2,CCL2>>CCR2,simple,1,1,CCL2>>CCR2,0,0,0,0,0,0,0,0,0,0,0,1,1,LIANA+;connectomeDB2025,2,2,1,,LIANA+;connectomeDB2025,1,,,1,1,exact_simplex,0,0,Inferred,9287323;10529171;10770925;12554737;15207250,9287323;10529171;10770925;12554737;15207250,9287323;10529171;10770925;12554737;15207250,5,5,Legacy_native,0,,MGI_species_specific_table;MGI_symbols_from_LIANA,1,legacy_plus_both,0,0,multiple_sources;orthology_inferred,,1,development,mouse_L_R_development.csv,mouse,Mus musculus,10090,development,legacy_context_member,Inferred,Inferred,0,,0
Ccl2,,,CCR3,,,19,DEVCOMLR:10090:DBBBE1C39803,mouse_development_LR000019,CCL2,CCR3,CCL2>>CCR3,simple,1,1,CCL2>>CCR3,0,0,0,0,0,0,0,0,0,0,0,1,1,LIANA+;connectomeDB2025,2,2,1,,LIANA+;connectomeDB2025,1,,,1,1,exact_simplex,0,0,Inferred,15207250,15207250,15207250,1,1,Legacy_native,0,,MGI_species_specific_table;MGI_symbols_from_LIANA,1,legacy_plus_both,0,0,multiple_sources;orthology_inferred,,1,development,mouse_L_R_development.csv,mouse,Mus musculus,10090,development,legacy_context_member,Inferred,Inferred,0,,0
Ccl21a,,,ACKR4,,,20,DEVCOMLR:10090:F7A4A1A2A63B,mouse_development_LR000020,CCL21A,ACKR4,CCL21A>>ACKR4,simple,1,1,CCL21A>>ACKR4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance,,1,development,mouse_L_R_development.csv,mouse,Mus musculus,10090,development,legacy_context_member,,,0,,0
Ccl21a,,,CCR7,,,21,DEVCOMLR:10090:F867C2A2FA65,mouse_development_LR000021,CCL21A,CCR7,CCL21A>>CCR7,simple,1,1,CCL21A>>CCR7,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance,,1,development,mouse_L_R_development.csv,mouse,Mus musculus,10090,development,legacy_context_member,,,0,,0
Cxcl1,,,CXCR2,,,22,DEVCOMLR:10090:35DDEB893340,mouse_development_LR000022,CXCL1,CXCR2,CXCL1>>CXCR2,simple,1,1,CXCL1>>CXCR2,0,0,0,0,0,0,0,0,0,0,0,1,0,LIANA+,1,1,0,,LIANA+,1,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,MGI_symbols_from_LIANA,1,legacy_plus_LIANA,0,0,single_source,,1,development,mouse_L_R_development.csv,mouse,Mus musculus,10090,development,legacy_context_member,,,0,,0
Cxcl1,,,DPP4,,,23,DEVCOMLR:10090:0C5E0B5A7D63,mouse_development_LR000023,CXCL1,DPP4,CXCL1>>DPP4,simple,1,1,CXCL1>>DPP4,0,0,0,0,0,0,0,0,0,0,0,1,0,LIANA+,1,1,0,,LIANA+,1,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,MGI_symbols_from_LIANA,1,legacy_plus_LIANA,0,0,single_source,,1,development,mouse_L_R_development.csv,mouse,Mus musculus,10090,development,legacy_context_member,,,0,,0
