L1,L2,R1,R2,R3,R4,original_row_index,old_LR_ID,new_LR_ID,ligand_complex_key,receptor_complex_key,LR_complex_key,interaction_class,ligand_component_count,receptor_component_count,LR_simplex_key,src_CellChatDB,src_NicheNet,src_CellPhoneDB,src_CellTalkDB,src_CITEdb,src_connectomeDB2020,src_exFINDER,src_ICELLNET,src_NATMI,src_STRING,src_SingleCellSignalR,src_LIANA_plus,src_connectomeDB2025,source_databases,source_database_count,resource_membership_count,primary_source_count,legacy_sources,update_sources,LIANA_consensus_member,LIANA_underlying_sources,LIANA_references,ConnectomeDB2025_member,ConnectomeDB2025_exact_support,ConnectomeDB2025_match_type,ConnectomeDB2025_component_support,ConnectomeDB2025_component_support_complete,ConnectomeDB2025_evidence,ConnectomeDB2025_PMIDs,ConnectomeDB2025_component_PMIDs,unique_PMIDs,PMID_count,experimental_evidence_count,species_support_type,orthology_inferred,orthology_source,gene_symbol_mapping_status,is_valid_LR,provenance_status,previously_removed_invalid_source,rescued_by_valid_source,quality_flags,related_complex_id,legacy_member,legacy_contexts,legacy_files,species,species_scientific_name,taxid,context,context_assignment,ConnectomeDB2025_evidence_all,ConnectomeDB2025_evidence_best,n_exact_duplicates_merged,merged_from_row_indices,n_contained_interactions_removed_under_this_LR
BMP2,,BMPR1A,BMPR2,,,11,DEVCOMLR:9544:45A357A1FC3B,mmulatta_development_LR000011,BMP2,BMPR1A|BMPR2,BMP2>>BMPR1A|BMPR2,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,component_support,1,1,,,7791754;9748228;10692589;10712517;10880444;10881198;15064755;19735544;19956691;21702718,7791754;9748228;10692589;10712517;10880444;10881198;15064755;19735544;19956691;21702718,10,10,Legacy_native,0,,,1,unresolved_legacy,0,0,component_only_support;unresolved_provenance;complex_interaction;dominant_complex,,1,development,mmulatta_L_R_develoment.csv,mmulatta,Macaca mulatta,9544,development,legacy_context_member,,,0,,2
BMP2,,BMPR1B,ACVR2A,,,12,DEVCOMLR:9544:EA06FEB21478,mmulatta_development_LR000012,BMP2,ACVR2A|BMPR1B,BMP2>>ACVR2A|BMPR1B,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,component_support,1,1,,,7811286;9748228;9872992;10712517;19735544;19956691;21702718,7811286;9748228;9872992;10712517;19735544;19956691;21702718,7,7,Legacy_native,0,,,1,unresolved_legacy,0,0,component_only_support;unresolved_provenance;complex_interaction;dominant_complex,,1,development,mmulatta_L_R_develoment.csv,mmulatta,Macaca mulatta,9544,development,legacy_context_member,,,0,,2
BMP2,,BMPR1B,ACVR2B,,,13,DEVCOMLR:9544:50CEBCD36D6E,mmulatta_development_LR000013,BMP2,ACVR2B|BMPR1B,BMP2>>ACVR2B|BMPR1B,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,component_support,1,1,,,7811286;9748228;9872992;10712517;19735544;19956691;21702718,7811286;9748228;9872992;10712517;19735544;19956691;21702718,7,7,Legacy_native,0,,,1,unresolved_legacy,0,0,component_only_support;unresolved_provenance;complex_interaction;dominant_complex,,1,development,mmulatta_L_R_develoment.csv,mmulatta,Macaca mulatta,9544,development,legacy_context_member,,,0,,2
BMP2,,BMPR1B,BMPR2,,,14,DEVCOMLR:9544:DF56FE7110E2,mmulatta_development_LR000014,BMP2,BMPR1B|BMPR2,BMP2>>BMPR1B|BMPR2,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,component_support,1,1,,,7791754;7811286;9748228;9872992;10712517;10880444;19735544;19956691;21702718,7791754;7811286;9748228;9872992;10712517;10880444;19735544;19956691;21702718,9,9,Legacy_native,0,,,1,unresolved_legacy,0,0,component_only_support;unresolved_provenance;complex_interaction;dominant_complex,,1,development,mmulatta_L_R_develoment.csv,mmulatta,Macaca mulatta,9544,development,legacy_context_member,,,0,,2
GDF5,,BMPR1A,ACVR2A,,,15,DEVCOMLR:9544:A2BBD7B31B2C,mmulatta_development_LR000015,GDF5,ACVR2A|BMPR1A,GDF5>>ACVR2A|BMPR1A,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,component_support,1,1,,,8702914;9525338;19956691,8702914;9525338;19956691,3,3,Legacy_native,0,,,1,unresolved_legacy,0,0,component_only_support;unresolved_provenance;complex_interaction;dominant_complex,,1,development,mmulatta_L_R_develoment.csv,mmulatta,Macaca mulatta,9544,development,legacy_context_member,,,0,,2
GDF5,,BMPR1A,ACVR2B,,,16,DEVCOMLR:9544:F64C90D13C73,mmulatta_development_LR000016,GDF5,ACVR2B|BMPR1A,GDF5>>ACVR2B|BMPR1A,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,component_support,1,1,,,8702914;9525338;19735544;19956691,8702914;9525338;19735544;19956691,4,4,Legacy_native,0,,,1,unresolved_legacy,0,0,component_only_support;unresolved_provenance;complex_interaction;dominant_complex,,1,development,mmulatta_L_R_develoment.csv,mmulatta,Macaca mulatta,9544,development,legacy_context_member,,,0,,2
GDF5,,BMPR1A,BMPR2,,,17,DEVCOMLR:9544:E255CED342E2,mmulatta_development_LR000017,GDF5,BMPR1A|BMPR2,GDF5>>BMPR1A|BMPR2,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,component_support,1,1,,,8702914;9525338;19956691,8702914;9525338;19956691,3,3,Legacy_native,0,,,1,unresolved_legacy,0,0,component_only_support;unresolved_provenance;complex_interaction;dominant_complex,,1,development,mmulatta_L_R_develoment.csv,mmulatta,Macaca mulatta,9544,development,legacy_context_member,,,0,,2
GDF5,,BMPR1B,ACVR2A,,,18,DEVCOMLR:9544:4D6F9FC3381D,mmulatta_development_LR000018,GDF5,ACVR2A|BMPR1B,GDF5>>ACVR2A|BMPR1B,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,component_support,1,1,,,8702914;11282024;15569154;19735544;19956691,8702914;11282024;15569154;19735544;19956691,5,5,Legacy_native,0,,,1,unresolved_legacy,0,0,component_only_support;unresolved_provenance;complex_interaction;dominant_complex,,1,development,mmulatta_L_R_develoment.csv,mmulatta,Macaca mulatta,9544,development,legacy_context_member,,,0,,2
GDF5,,BMPR1B,ACVR2B,,,19,DEVCOMLR:9544:9B6F91023E6D,mmulatta_development_LR000019,GDF5,ACVR2B|BMPR1B,GDF5>>ACVR2B|BMPR1B,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,component_support,1,1,,,8702914;11282024;15569154;19735544;19956691,8702914;11282024;15569154;19735544;19956691,5,5,Legacy_native,0,,,1,unresolved_legacy,0,0,component_only_support;unresolved_provenance;complex_interaction;dominant_complex,,1,development,mmulatta_L_R_develoment.csv,mmulatta,Macaca mulatta,9544,development,legacy_context_member,,,0,,2
GDF5,,BMPR1B,BMPR2,,,20,DEVCOMLR:9544:218AB23FF391,mmulatta_development_LR000020,GDF5,BMPR1B|BMPR2,GDF5>>BMPR1B|BMPR2,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,component_support,1,1,,,8702914;9525338;11282024;15569154;19735544;19956691,8702914;9525338;11282024;15569154;19735544;19956691,6,6,Legacy_native,0,,,1,unresolved_legacy,0,0,component_only_support;unresolved_provenance;complex_interaction;dominant_complex,,1,development,mmulatta_L_R_develoment.csv,mmulatta,Macaca mulatta,9544,development,legacy_context_member,,,0,,2
GDF6,,BMPR1A,ACVR2A,,,21,DEVCOMLR:9544:95984B4FC9B3,mmulatta_development_LR000021,GDF6,ACVR2A|BMPR1A,GDF6>>ACVR2A|BMPR1A,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,component_support,1,1,,,16049014;21702718,16049014;21702718,2,2,Legacy_native,0,,,1,unresolved_legacy,0,0,component_only_support;unresolved_provenance;complex_interaction;dominant_complex,,1,development,mmulatta_L_R_develoment.csv,mmulatta,Macaca mulatta,9544,development,legacy_context_member,,,0,,2
GDF6,,BMPR1A,ACVR2B,,,22,DEVCOMLR:9544:34777121B7A1,mmulatta_development_LR000022,GDF6,ACVR2B|BMPR1A,GDF6>>ACVR2B|BMPR1A,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,component_support,1,1,,,16049014;21702718,16049014;21702718,2,2,Legacy_native,0,,,1,unresolved_legacy,0,0,component_only_support;unresolved_provenance;complex_interaction;dominant_complex,,1,development,mmulatta_L_R_develoment.csv,mmulatta,Macaca mulatta,9544,development,legacy_context_member,,,0,,2
GDF6,,BMPR1A,BMPR2,,,23,DEVCOMLR:9544:DEE17F72200C,mmulatta_development_LR000023,GDF6,BMPR1A|BMPR2,GDF6>>BMPR1A|BMPR2,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,component_support,1,1,,,9525338;16049014;21702718,9525338;16049014;21702718,3,3,Legacy_native,0,,,1,unresolved_legacy,0,0,component_only_support;unresolved_provenance;complex_interaction;dominant_complex,,1,development,mmulatta_L_R_develoment.csv,mmulatta,Macaca mulatta,9544,development,legacy_context_member,,,0,,2
GDF6,,BMPR1B,ACVR2A,,,24,DEVCOMLR:9544:6CC75E081255,mmulatta_development_LR000024,GDF6,ACVR2A|BMPR1B,GDF6>>ACVR2A|BMPR1B,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,component_support,1,1,,,9525338;16049014;21702718,9525338;16049014;21702718,3,3,Legacy_native,0,,,1,unresolved_legacy,0,0,component_only_support;unresolved_provenance;complex_interaction;dominant_complex,,1,development,mmulatta_L_R_develoment.csv,mmulatta,Macaca mulatta,9544,development,legacy_context_member,,,0,,2
GDF6,,BMPR1B,ACVR2B,,,25,DEVCOMLR:9544:74CABE8837EF,mmulatta_development_LR000025,GDF6,ACVR2B|BMPR1B,GDF6>>ACVR2B|BMPR1B,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,component_support,1,1,,,9525338;16049014;21702718,9525338;16049014;21702718,3,3,Legacy_native,0,,,1,unresolved_legacy,0,0,component_only_support;unresolved_provenance;complex_interaction;dominant_complex,,1,development,mmulatta_L_R_develoment.csv,mmulatta,Macaca mulatta,9544,development,legacy_context_member,,,0,,2
