L1,L2,R1,R2,R3,original_row_index,old_LR_ID,new_LR_ID,ligand_complex_key,receptor_complex_key,LR_complex_key,interaction_class,ligand_component_count,receptor_component_count,LR_simplex_key,src_CellChatDB,src_NicheNet,src_CellPhoneDB,src_CellTalkDB,src_CITEdb,src_connectomeDB2020,src_exFINDER,src_ICELLNET,src_NATMI,src_STRING,src_SingleCellSignalR,src_LIANA_plus,src_connectomeDB2025,source_databases,source_database_count,resource_membership_count,primary_source_count,legacy_sources,update_sources,LIANA_consensus_member,LIANA_underlying_sources,LIANA_references,ConnectomeDB2025_member,ConnectomeDB2025_exact_support,ConnectomeDB2025_match_type,ConnectomeDB2025_component_support,ConnectomeDB2025_component_support_complete,ConnectomeDB2025_evidence,ConnectomeDB2025_PMIDs,ConnectomeDB2025_component_PMIDs,unique_PMIDs,PMID_count,experimental_evidence_count,species_support_type,orthology_inferred,orthology_source,gene_symbol_mapping_status,is_valid_LR,provenance_status,previously_removed_invalid_source,rescued_by_valid_source,quality_flags,related_complex_id,legacy_member,legacy_contexts,legacy_files,species,species_scientific_name,taxid,context,context_assignment,ConnectomeDB2025_evidence_all,ConnectomeDB2025_evidence_best,n_exact_duplicates_merged,merged_from_row_indices,n_contained_interactions_removed_under_this_LR
C1QC,,LAIR1,,,9904,DEVCOMLR:9913:1483A539ADB7,BOS_development_LR009408,C1QC,LAIR1,C1QC>>LAIR1,simple,1,1,C1QC>>LAIR1,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,28325905,28325905,28325905,1,1,Orthology_inferred,0,,VGNC/NCBI/Ensembl_species_specific_table,1,new_connectomeDB2025_only,0,0,single_source;orthology_inferred,,0,,,BOS,Bos taurus,9913,development,generic_prior_receptor_in_context_RTF,Inferred,Inferred,0,,0
C1QC,,CD44,,,9905,DEVCOMLR:9913:1592D485DA12,BOS_development_LR009409,C1QC,CD44,C1QC>>CD44,simple,1,1,C1QC>>CD44,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,32894219,32894219,32894219,1,1,Orthology_inferred,0,,VGNC/NCBI/Ensembl_species_specific_table,1,new_connectomeDB2025_only,0,0,single_source;orthology_inferred,,0,,,BOS,Bos taurus,9913,development,generic_prior_receptor_in_context_RTF,Inferred,Inferred,0,,0
C1QC,,LOC100138951,,,9906,DEVCOMLR:9913:F0CF75C71A8B,BOS_development_LR009410,C1QC,LOC100138951,C1QC>>LOC100138951,simple,1,1,C1QC>>LOC100138951,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,28325905,28325905,28325905,1,1,Orthology_inferred,0,,VGNC/NCBI/Ensembl_species_specific_table,1,new_connectomeDB2025_only,0,0,single_source;orthology_inferred,,0,,,BOS,Bos taurus,9913,development,generic_prior_receptor_in_context_RTF,Inferred,Inferred,0,,0
C1QC,,ADCY5,,,9907,DEVCOMLR:9913:3E76D60C3F04,BOS_development_LR009411,C1QC,ADCY5,C1QC>>ADCY5,simple,1,1,C1QC>>ADCY5,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,32894219,32894219,32894219,1,1,Orthology_inferred,0,,VGNC/NCBI/Ensembl_species_specific_table,1,new_connectomeDB2025_only,0,0,single_source;orthology_inferred,,0,,,BOS,Bos taurus,9913,development,generic_prior_receptor_in_context_RTF,Inferred,Inferred,0,,0
C1QB,,MET,,,9908,DEVCOMLR:9913:DE80D1E85DB9,BOS_development_LR009412,C1QB,MET,C1QB>>MET,simple,1,1,C1QB>>MET,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,32894219,32894219,32894219,1,1,Orthology_inferred,0,,VGNC/NCBI/Ensembl_species_specific_table,1,new_connectomeDB2025_only,0,0,single_source;orthology_inferred,,0,,,BOS,Bos taurus,9913,development,generic_prior_receptor_in_context_RTF,Inferred,Inferred,0,,0
C1QB,,LAIR1,,,9909,DEVCOMLR:9913:6612193BA491,BOS_development_LR009413,C1QB,LAIR1,C1QB>>LAIR1,simple,1,1,C1QB>>LAIR1,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,28325905,28325905,28325905,1,1,Orthology_inferred,0,,VGNC/NCBI/Ensembl_species_specific_table,1,new_connectomeDB2025_only,0,0,single_source;orthology_inferred,,0,,,BOS,Bos taurus,9913,development,generic_prior_receptor_in_context_RTF,Inferred,Inferred,0,,0
C1QB,,CD44,,,9910,DEVCOMLR:9913:7B645313A35A,BOS_development_LR009414,C1QB,CD44,C1QB>>CD44,simple,1,1,C1QB>>CD44,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,32894219,32894219,32894219,1,1,Orthology_inferred,0,,VGNC/NCBI/Ensembl_species_specific_table,1,new_connectomeDB2025_only,0,0,single_source;orthology_inferred,,0,,,BOS,Bos taurus,9913,development,generic_prior_receptor_in_context_RTF,Inferred,Inferred,0,,0
CADM4,,CADM1,,,9911,DEVCOMLR:9913:7BAA44889436,BOS_development_LR009415,CADM4,CADM1,CADM4>>CADM1,simple,1,1,CADM4>>CADM1,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,30131958,30131958,30131958,1,1,Orthology_inferred,0,,VGNC/NCBI/Ensembl_species_specific_table,1,new_connectomeDB2025_only,0,0,single_source;orthology_inferred,,0,,,BOS,Bos taurus,9913,development,generic_prior_receptor_in_context_RTF,Inferred,Inferred,0,,0
CADM3,,CADM2,,,9912,DEVCOMLR:9913:0957A2D93B25,BOS_development_LR009416,CADM3,CADM2,CADM3>>CADM2,simple,1,1,CADM3>>CADM2,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,30131958,30131958,30131958,1,1,Orthology_inferred,0,,VGNC/NCBI/Ensembl_species_specific_table,1,new_connectomeDB2025_only,0,0,single_source;orthology_inferred,,0,,,BOS,Bos taurus,9913,development,generic_prior_receptor_in_context_RTF,Inferred,Inferred,0,,0
CADM2,,CADM4,,,9913,DEVCOMLR:9913:52E38BFA34DF,BOS_development_LR009417,CADM2,CADM4,CADM2>>CADM4,simple,1,1,CADM2>>CADM4,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,30131958,30131958,30131958,1,1,Orthology_inferred,0,,VGNC/NCBI/Ensembl_species_specific_table,1,new_connectomeDB2025_only,0,0,single_source;orthology_inferred,,0,,,BOS,Bos taurus,9913,development,generic_prior_receptor_in_context_RTF,Inferred,Inferred,0,,0
