from,to
Cst3,Crot
Cul1,Kmt2e
Sox9,Sox8
Amot,Ibtk
Dnmt1,Ibtk
Rgs2,Ibtk
Bak1,Mycbp2
Cd4,Itgal
Mmp9,Itgal
Col1a1,Itgal
Eng,Itgal
Dnmt1,Itgal
Bgn,Itgal
Pdk1,Pdk2
Col1a1,Itga3
Lgals1,Itga3
Lrp8,Itga3
Cspg4,Itga3
Bgn,Itga3
Vegfa,Itga3
Sod1,Lamp2
Hif1a,Lamp2
Aplnr,Lamp2
Mtor,Lamp2
Cd4,Lamp2
Adam17,Itga2b
Col1a1,Itga2b
Bgn,Itga2b
Id2,Asb4
Hif1a,Asb4
Ascl2,Crlf1
Krt7,Krt33a
Krt7,Krt34
Krt7,Krt31
Krt7,Krt33b
Krt8,Krt33a
Krt8,Krt34
Krt8,Krt31
Krt8,Krt33b
Slc2a1,Abcc8
Atf4,Abcc8
Nfe2l2,Abcc8
Hyou1,Abcc8
Cnr1,Cacng3
Hspa5,Tmem132a
Agtr1a,Ap2b1
Lnpep,Ap2b1
Dnmt1,Ap2b1
Krt8,Ap2b1
Egln1,Ap2b1
Mmp2,Ap2b1
Krt7,Ap2b1
Tbr1,Ap2b1
Hspa5,Ap2b1
Slc2a1,Ap2b1
Serpinh1,Ap2b1
Hyou1,Ap2b1
Ephb4,Ap2b1
Cd74,Ap2b1
Cul1,Ap2b1
Amot,Ap2b1
Sirt1,Zfp263
Cnr1,Cacna1g
Nfe2l2,Cacna1g
Ambp,Cacna1g
Edn1,Tnfrsf12a
Dnmt1,Dlx6
Ttr,Dlx6
Agtr1a,Dlx6
Atp6ap2,Rala
Ppp2ca,Rala
Igf1,Rala
Ascl2,Rala
Adm,Rala
Kdm6b,Jhdm1d
Sox9,Etv1
Hyou1,Agk
Hif1a,Agk
Atp6ap2,Agk
Hspa5,Agk
Adh5,Aldh3b1
Cyp17a1,Aldh3b1
Hmox1,Aldh3b1
Tlr4,Aldh3b1
Ldha,Aldh3b1
Agtr1a,Farp2
Ppp2ca,Ush1c
Hspa5,Ggct
Agtr1a,Tbxa2r
Edn1,Tbxa2r
Ednrb,Tbxa2r
Lgals1,Gtf2ird1
Edn1,Gtf2ird1
Mtor,Vps41
Vegfa,Vps41
Tlr4,Vps41
Ttr,Vps41
Pdk1,Elac2
Slc2a1,Scin
Krt8,Myh13
Lgals1,Myh13
Hspa5,Myh13
Aplnr,Mark4
Prkaa1,Mark4
Cd34,Prom1
Vegfa,Prom1
Hspa5,Pafah1b1
Edil3,Pafah1b1
Ppp2ca,Pafah1b1
Serpine1,Nos2
Slc16a1,Nos2
Hspa5,Nos2
Prkaa1,Nos2
Edn1,Nos2
Nos3,Nos2
Prl3b1,Nos2
Hif1a,Nos2
Hmox1,Nos2
Vegfa,Nos2
Krt8,Nos2
Prl2c2,Nos2
Prl7b1,Nos2
Cst3,Nos2
Nos1,Nos2
Cd74,Nos2
Prl2c5,Nos2
Prl8a2,Nos2
Prl3d1,Nos2
Emcn,Dnah9
Dnmt1,Dnah9
Ascl2,Slc13a2
Kit,Matk
Adm,Matk
Hspa5,Matk
Edn1,Matk
Bak1,Ceacam10
Srd5a1,Ceacam10
Inha,Ceacam10
Bgn,Ceacam10
Rbfox2,Ceacam10
Mtor,Ceacam10
Ambp,Ceacam10
Vangl2,Cd79b
Il33,Cd79b
Kit,Cd79b
Vegfa,Cd79b
Prl8a2,Pax6
Prl3d1,Pax6
Prl2c5,Pax6
Prl2c2,Pax6
Prl3b1,Pax6
Mmp9,Pax6
Prl7b1,Pax6
Mtor,Pax6
Tbr1,Pax6
Dnmt3l,Pax6
Col1a1,Pax6
Hif1a,Rhbdf1
Egln1,Luc7l
Tbr1,Luc7l
Amot,Luc7l
Hspa5,Luc7l
Nlrp3,Luc7l
Vangl2,Luc7l
Hyou1,Luc7l
Dnmt1,Luc7l
Mus81,Tsr3
Prkaa1,Tead3
Ttr,Tead3
Hyou1,Tead3
Amot,Tead3
Vegfa,Tead3
Dcaf13,Tead3
Cd4,Sele
Cd34,Sele
Sod1,Sele
Acta2,Sele
Serpine1,Sele
Il11,Sele
Lrp8,Mylip
Cul1,Mylip
Sod1,Nox1
Edn1,Nox1
Edn1,E2f2
Hif1a,E2f2
Dcaf13,E2f2
Dnmt1,E2f2
Edn1,Psmb1
Mmp9,Psmb1
Serpine1,Psmb1
Agtr1a,Psmb1
Lgals1,Psmb1
Epas1,Psmb1
Nos1,Syn1
Ppp2ca,Syn1
Erg,Syn1
Prkaa1,Syn1
Cts8,Jarid2
Cts7,Jarid2
Ctsq,Jarid2
Lin28a,Jarid2
Nkx2-5,Jarid2
Cst3,Jarid2
Ttr,Jarid2
Sod1,Camk1g
Acta2,Camk1g
Hsd17b3,Nadk
Nos3,Nadk
Ldha,Nadk
Kit,Tfap2b
Lnpep,Adam22
Nkx2-5,Cyb561
Hmox1,Cyb561
Slc2a1,Cyb561
Hspa5,Spag9
Hif1a,Spag9
Acta2,Celsr3
Pdk1,Aass
Ldha,Aass
Acta2,Plekhg6
Ppp2ca,Deb1
Tlr4,Mgst1
Mest,Mgst1
Sod1,Mgst1
Atp6ap2,Mgst1
Hspa5,Mgst1
Hyou1,Mgst1
Igf1,Mgst1
Pdk1,Mgst1
Cul1,Cry1
Prkaa1,Cry1
Hspa5,Cry1
Grn,Cry1
Sirt1,Cry1
Mtor,Cry1
Hif1a,Nfix
Vegfa,Nfix
Cd274,St3gal1
Krt8,Pkd1
Id2,Pkd1
Col1a1,Pkd1
Lrp8,Mapk8ip2
Tlr4,Mapk8ip2
Epas1,Med24
Atp6ap2,Sec62
Hyou1,Sec62
Hspa5,Sec62
Ppp2ca,Rps20
Cul1,Rps20
Dnmt1,Csde1
Amot,Csde1
Hyou1,Csde1
Hif1a,Csde1
Egln1,Csde1
Cul1,Csde1
Tbr1,Csde1
Prkaa1,Csde1
Hspa5,Csde1
Sod1,Ube3c
Acta2,Ube3c
Tlr4,Ube3c
Cd74,Ube3c
Ppp2ca,Ube3c
Nfe2l2,Ube3c
Hif1a,Ube3c
Id2,Tenm1
Tlr4,Pax7
Ppp2ca,Traf3ip3
Eng,Pomt2
Hsd17b3,Pomt2
Serpinh1,Vta1
Aqp2,Vta1
Mtor,Mlxipl
Ppp2ca,Mlxipl
Prkaa1,Mlxipl
Ldha,Baz1b
Krt7,Baz1b
Hspa5,Baz1b
Mus81,Baz1b
Kit,Baz1b
Nkx2-5,Baz1b
Ddx4,Ranbp9
Cd4,Ranbp9
Nfatc1,Ranbp9
Nfe2l2,Zfp207
Hyou1,Uqcrc1
Krt7,Uqcrc1
Acta2,Uqcrc1
Krt8,Uqcrc1
Hif1a,Uqcrc1
Hspa5,Uqcrc1
Edn1,Cd9
Lnpep,Cd9
Serpine1,Cd9
Kit,Cd9
Egr1,Cd9
Synb,Cd9
Cd4,Cd9
Adm,Cd9
Adam17,Cd9
Ednrb,Cd9
Syna,Cd9
Agtr1a,Hhatl
Cd74,Ncapd2
Hif1a,Iffo1
Amot,Iffo1
Adm,Gipr
Ascl2,Gipr
Eng,Stab1
Flt1,Stab1
Vegfa,Stab1
Mmp2,Stab1
Nfatc1,Slc6a13
Irx5,Slc6a13
Egr1,Ids
Cul1,Ids
Hspa5,Ids
Col1a1,Ids
Pik3r3,Cd4
Gm10288,Cd4
Eef1b2,Cd4
Mul1,Cd4
Bcl6,Cd4
Fcho2,Cd4
Pip5k1a,Cd4
Csk,Cd4
Ap2a2,Cd4
Arpc1a,Cd4
Sirpa,Cd4
Rps12,Cd4
Clta,Cd4
H2-Eb1,Cd4
Rpl11,Cd4
Bin1,Cd4
Arrb2,Cd4
Apob,Cd4
Amica1,Cd4
Pip,Cd4
Hnrnpa2b1,Cd4
Cd59b,Cd4
Itga4,Cd4
Ppp1r3c,Cd4
Slc2a8,Cd4
Emd,Cd4
Gm13280,Cd4
Hist2h2be,Cd4
Ngf,Cd4
Gm10036,Cd4
Ufd1l,Cd4
Mgam,Cd4
Pik3r1,Cd4
Rps18-ps3,Cd4
Epn2,Cd4
Ifna11,Cd4
D1Pas1,Cd4
Il16,Cd4
Il2rg,Cd4
Hnrnpd,Cd4
Eps15,Cd4
Ptgdr,Cd4
Pip4k2a,Cd4
Sun2,Cd4
Gm10260,Cd4
Gnai1,Cd4
Ddx5,Cd4
Rplp1,Cd4
