L1,R1,R2
Wnt2,Fzd3,
Wnt2,Fzd8,
Wnt2,Lrp5,
Wnt2,Fzd1,
Wnt2,Fzd5,
Wnt2,Fzd4,
Wnt2,Fzd7,
Bmp5,Bmpr1b,
Bmp5,Bmpr2,
Bmp5,Bmpr1a,
Wnt8a,Fzd1,
Wnt8a,Ptk7,
Wnt8a,Lrp6,
Wnt8a,Fzd5,
Wnt8a,Fzd4,
Wnt8a,Fzd7,
Plg,Lrp2,
Plg,Igf2r,
Csf1,Csf1r,
Csf1,Flt4,
Ceacam16,Tectb,
Dll1,Notch4,
Dll1,Notch2,
Dll1,Notch1,
Dll1,Notch3,
Mmp13,Lrp1,
Lama5,Itgb4,
Hspa8,Aqp2,
Cd34,Sell,
Cd274,Pdcd1,
Cd274,Cd80,
Lnx2,Cd8a,
Lnx2,Cxadr,
Il10,Il10ra,
Il10,Il10rb,
Prl5a1,Prlr,
Pyy,Dpp4,
Ppy,Npy2r,
Vtn,Itgav,
Vtn,Itga8,
Igfbp4,Lrp6,
Ada,Adora2b,
Ada,Dpp4,
Ada,Adora1,
Mmp9,Ephb2,
Mmp9,Tlr9,
Mmp9,Lrp1,
Mmp9,Tlr4,
Prl3c1,Prlr,
Mfng,Notch1,
Gdf9,Bmpr1b,
Gdf9,Acvr2a,
Gdf9,Bmpr2,
Gdf9,Acvr1c,
Gdf9,Bmpr1a,
Wnt9b,Lrp5,
Wnt9b,Lrp6,
Wnt9b,Fzd5,
Tnfsf13,Tnfrsf17,
Il3,Il2ra,
Il3,Il4ra,
Il3,Csf2rb2,
Il3,Il3ra,
Csf2,Csf2rb,
Csf2,Csf2ra,
Csf2,Sdc2,
Csf2,Csf1r,
Csf2,Csf3r,
Ccl6,Ccr1,
Ccl4,Ccr1,
Ccl4,Ccr8,
Ccl4,Ccr5,
Ccl4,Ackr2,
Ccl4,Ccr3,
Ccl9,Ccr1,
Calm3,Grm7,
Calm3,Scn10a,
Calm3,Scn4a,
Calm3,Trpc5,
Calm3,Kcnq3,
Calm3,Mylk,
Sema6a,Plxna4,
Sema6a,Plxna2,
Vip,Npr3,
Vip,Dpp4,
Vip,Ramp2,
Vip,Vipr1,
Vip,Adcyap1r1,
Vip,Ramp1,
Vip,Ramp3,
Lama4,Itgb1,
Nts,Sort1,
Nts,Ntsr1,
Nts,Ntsr2,
Ccn2,Egfr,
Ccn2,Itga5,
Ccn2,Ntrk1,
Ccn2,Fgfr2,
Ccn2,Lrp6,
Ccn2,Itgam,
Ccn2,Lrp1,
Hsp90b1,Tlr9,
Hsp90b1,Lrp1,
Hsp90b1,Tlr2,
Hsp90b1,Tlr4,
Hsp90b1,Lrp6,
Fgf18,Fgfr1,
Fgf18,Fgfr2,
Fgf18,Fgfr3,
Madcam1,Itga4,
Fgf22,Fgfr1,
Fgf22,Fgfr2,
Il13,Il13ra2,
Il13,Il4ra,
Pomc,Mc2r,
Pomc,Mc4r,
Pomc,Oprm1,
Pomc,Mc3r,
Pomc,Mc1r,
Pomc,Mc5r,
Pomc,Oprd1,
Ccl7,Ccr1,
Ccl7,Ccr2,
Ccl7,Ccr5,
Ccl7,Ccr10,
Ccl7,Cxcr3,
Ccl7,Ccr3,
Tac4,Tacr1,
Prl7d1,Prlr,
