L1,R1,R2
Gas6,Axl,
Hras,Grin2d,
Il17f,Il17ra,
Il17a,Il17ra,
Lama5,Bcam,
Eda,Edar,
Fn1,Cd79a,
Psen1,Ncstn,
App,Ncstn,
Ucn3,Crhr2,
Crh,Crhr2,
Ucn2,Crhr2,
Ucn,Crhr2,
Tslp,Il7r,
Il7,Il7r,
Sema3f,Plxna3,
Mmp9,Cd44,
Egf,Cd44,
Bsg,Cd44,
Vim,Cd44,
Mif,Cd44,
Hgf,Cd44,
Mmp7,Cd44,
Anxa2,Cd44,
Fgf1,Cd44,
Has2,Cd44,
Fgf2,Cd44,
Vcan,Cd44,
Spp1,Cd44,
Col1a2,Cd44,
Prg4,Cd44,
Fn1,Cd44,
Bgn,Cd44,
Fgf11,Fgfr4,
Fgf14,Fgfr4,
Fgf16,Fgfr4,
Fgf17,Fgfr4,
Fgf18,Fgfr4,
Fgf1,Fgfr4,
Fgf5,Fgfr4,
Fgf13,Fgfr4,
Fgf2,Fgfr4,
Fgf9,Fgfr4,
Fgf12,Fgfr4,
Fgf8,Fgfr4,
Fgf20,Fgfr4,
Fgf4,Fgfr4,
Fgf15,Fgfr4,
Il27,Il27ra,
Igf2,Igf1r,
Igf1,Igf1r,
Wnt3a,Igf1r,
Areg,Igf1r,
Gnai2,Igf1r,
Gpc3,Igf1r,
Kitl,Kit,
Il33,Kit,
Fgf2,Kit,
Pthlh,Pth1r,
Pth,Pth1r,
Gnas,Pth1r,
Calm1,Cnga2,
Efnb1,Ephb3,
Epo,Epor,
Kitl,Epor,
Afdn,Nectin4,
Adam17,Nectin4,
Efna5,Epha2,
Efna1,Epha2,
Efna3,Epha2,
Efna4,Epha2,
Bmp15,Tgfbr1,
Gdf9,Tgfbr1,
Gdf11,Tgfbr1,
Tgfb2,Tgfbr1,
Bmp8a,Tgfbr1,
Mstn,Tgfbr1,
Tdgf1,Tgfbr1,
Bmp10,Tgfbr1,
Inhba,Tgfbr1,
Gdf3,Tgfbr1,
Egf,Cav1,
Bsg,Cav1,
Igfbp5,Cav1,
Gnai2,Cav1,
Hras,Cav1,
Calm1,Kcnq1,
Calml3,Kcnq1,
Bmp10,Eng,
Tnfsf13,Tnfrsf13b,
Vip,Vipr2,
Sct,Vipr2,
Adcyap1,Vipr2,
Fgf8,Fgfrl1,
Fgf2,Fgfrl1,
Pros1,Mertk,
Gas6,Mertk,
Lgals3,Mertk,
Sema3c,Plxnd1,
Sema4a,Plxnd1,
Sema3e,Plxnd1,
Hmgb1,Ager,
Dll4,Notch4,
Dll3,Notch4,
Psen1,Notch4,
Jag1,Notch4,
Jag2,Notch4,
Il25,Il17rb,
Apoe,Sdc4,
Adam12,Sdc4,
Ptn,Sdc4,
Rspo3,Sdc4,
Ceacam1,Sdc4,
Tnc,Sdc4,
Cxcl10,Sdc4,
Tgm2,Sdc4,
Fgf2,Sdc4,
Htra2,Cd40,
Ltb,Cd40,
Lgals9,Cd40,
Tnf,Cd40,
Adam17,Cd40,
Cd40lg,Cd40,
Ntn1,Adora2b,
Ptpn6,Cd22,
St6gal1,Cd22,
Ptgs2,Ptger1,
Grp,Nmbr,
Ptpn6,Ros1,
Ptpn11,Ros1,
Ifng,Ifngr1,
Tac1,Tacr2,
Cxcl12,Avpr1a,
Avp,Avpr1a,
Ang,Egfr,
Tnfsf12,Egfr,
Egf,Egfr,
Btc,Egfr,
Ereg,Egfr,
Spink1,Egfr,
Hsp90aa1,Egfr,
Vcan,Egfr,
Postn,Egfr,
Efnb1,Egfr,
Hbegf,Egfr,
Osm,Egfr,
Areg,Egfr,
Nrg1,Egfr,
Lrig1,Egfr,
Tgfa,Egfr,
Epgn,Egfr,
Rspo1,Lgr5,
Rspo2,Lgr5,
Rspo3,Lgr5,
Rspo4,Lgr5,
Has2,Hmmr,
Pdgfc,Flt4,
Vegfd,Flt4,
Vegfc,Flt4,
Agtrap,Rack1,
Dkk4,Kremen1,
Dkk1,Kremen1,
Lgals9,Havcr2,
Hmgb1,Havcr2,
Apoe,Sdc1,
Ptn,Sdc1,
Thbs1,Sdc1,
Fgf2,Sdc1,
Sema6d,Nrcam,
Vwf,Itgb3,
Angptl3,Itgb3,
Cx3cl1,Itgb3,
Hmgb1,Itgb3,
Fga,Itgb3,
Tnc,Itgb3,
Fgf2,Itgb3,
L1cam,Itgb3,
Postn,Itgb3,
Spp1,Itgb3,
Vegfa,Itgb3,
Igf1,Itgb3,
Reln,Itgb3,
Thbs1,Itgb3,
Mfge8,Itgb3,
Lgals3,Itgb3,
Mmp2,Itgb3,
Calm1,Scn4a,
Calm2,Scn4a,
Gdf5,Ror2,
Wnt5a,Ror2,
Ihh,Ptch1,
F2,F2rl2,
F7,F2rl1,
F2,F2rl1,
Fadd,Tnfrsf10b,
Nrtn,Gfra2,
Gdnf,Gfra2,
Artn,Gfra2,
Vegfa,Sdc2,
Ptn,Sdc2,
Hgf,Sdc2,
Fgf2,Sdc2,
Mmp2,Sdc2,
Cthrc1,Fzd6,
Wnt4,Fzd6,
Wnt5a,Fzd6,
Wnt10b,Fzd6,
Wnt1,Fzd6,
Nptx2,Nptxr,
Nptx1,Nptxr,
Angptl3,Itga5,
Cxcl12,Itga5,
Fga,Itga5,
Fgg,Itga5,
Fgb,Itga5,
L1cam,Itga5,
Postn,Itga5,
Fn1,Itga5,
Reln,Itga5,
Adam17,Itga5,
Thbs1,Itga5,
Angpt2,Itga5,
Angptl8,Gpihbp1,
Apoc3,Gpihbp1,
Cd6,Alcam,
S100b,Alcam,
Afdn,Nectin3,
Trf,Tfrc,
Calm1,Mylk,
Calm2,Mylk,
Slit3,Robo1,
Slit2,Robo1,
Slit1,Robo1,
Ifng,Ifngr2,
Ifnb1,Ifnar1,
Ucn3,Il10rb,
Ifnb1,Ifnar2,
Amh,Amhr2,
Wnt7b,Celsr3,
Wnt7a,Celsr3,
Igf2,Igf2r,
Tnfsf12,Tnfrsf12a,
Apoe,Trem2,
Lhb,Lhcgr,
Gnai2,Lhcgr,
Gnas,Lhcgr,
Nrtn,Gfra3,
Artn,Gfra3,
Pdgfa,Pdgfrb,
Pdgfc,Pdgfrb,
Pdgfd,Pdgfrb,
Mfge8,Pdgfrb,
Csf3,Csf1r,
Il34,Csf1r,
Calm1,Fas,
Fadd,Fas,
Wnt7b,Lrp5,
Apoe,Lrp5,
Wnt7a,Lrp5,
Tdgf1,Lrp5,
Wnt5a,Lrp5,
Nrtn,Gfra1,
Artn,Gfra1,
Gnas,Gcgr,
Gcg,Gcgr,
Thbs1,Itgb8,
Calm1,Mip,
Cd14,Ly96,
Sftpd,Ly96,
Hmgb1,Ly96,
Ccl5,Ccr1,
Sema3d,Nrp1,
Sema3c,Nrp1,
Vegfa,Nrp1,
Sema3a,Nrp1,
Egf,Nrp1,
Fgf7,Nrp1,
Sema3b,Nrp1,
Ptn,Nrp1,
Hgf,Nrp1,
Cntn2,Nrp1,
Sema4a,Nrp1,
Fgf4,Nrp1,
Sema3e,Nrp1,
Fgf1,Nrp1,
Sema3f,Nrp1,
Fgf2,Nrp1,
L1cam,Nrp1,
Ntn1,Unc5a,
Pdyn,Oprk1,
Pth,Pth2r,
Pth2,Pth2r,
Cp,Slc40a1,
Il1b,Il1r1,
Il1a,Il1r1,
Il1rn,Il1r1,
Il1b,Il1r2,
Il1a,Il1r2,
Il1rn,Il1r2,
Nms,Nmur1,
Nmu,Nmur1,
Efna5,Epha4,
Efna1,Epha4,
Efnb1,Epha4,
Efna3,Epha4,
Efna4,Epha4,
Pdcd1lg2,Pdcd1,
Cd14,Cd55,
Avp,Avpr1b,
Bsg,Sele,
Sema3a,Plxna2,
Spp1,Itga8,
Npnt,Itga8,
Tnc,Itga8,
Il15,Il2ra,
Tdgf1,Acvr1c,
Inhba,Acvr1c,
Inhbb,Acvr1c,
Gdf3,Acvr1c,
Dll4,Notch1,
Adam10,Notch1,
Cntn6,Notch1,
Rbp3,Notch1,
Dll3,Notch1,
Psen1,Notch1,
Ccn3,Notch1,
Dlk2,Notch1,
Dlk1,Notch1,
Fgf2,Notch1,
Jag1,Notch1,
Jag2,Notch1,
Reln,Notch1,
Egfl7,Notch1,
Adam17,Notch1,
Mfap2,Notch1,
Mfap5,Notch1,
Wnt5a,Notch1,
Tnc,Itgb6,
Adam17,Itgb6,
Thbs1,Itgb6,
Il1f8,Il1f5,
Adam10,Itgav,
Vwf,Itgav,
Angptl3,Itgav,
Cx3cl1,Itgav,
Hmgb1,Itgav,
Cxcl12,Itgav,
Icam1,Itgav,
Fgg,Itgav,
Adam15,Itgav,
Tnc,Itgav,
Fgf2,Itgav,
L1cam,Itgav,
Ccn1,Itgav,
Postn,Itgav,
Spp1,Itgav,
Vegfa,Itgav,
Igf1,Itgav,
Adam9,Itgav,
Dspp,Itgav,
Egfl7,Itgav,
Thbs1,Itgav,
Mfge8,Itgav,
Angpt2,Itgav,
Mmp2,Itgav,
Adam9,Itga6,
Adam17,Itga6,
Agrn,Lrp4,
Wnt7a,Lrp4,
Gas6,Tyro3,
a,Atrn,
Pf4,Procr,
Proc,Procr,
Nppb,Npr1,
Nppa,Npr1,
Vegfa,Npr1,
Adam10,Il6ra,
Cd14,Tlr2,
Hmgb1,Tlr2,
Vcan,Tlr2,
Bgn,Tlr2,
Npy,Npy2r,
Bdnf,Insrr,
Ntf3,Ntrk1,
Bdnf,Ntrk1,
Ntf5,Ntrk1,
Ngf,Ntrk1,
Crp,Fcgr1,
Tfpi,F3,
F7,F3,
Tac1,Tacr3,
Gdf10,Bmpr1b,
Bmp6,Bmpr1b,
Gdf7,Bmpr1b,
Gdf5,Bmpr1b,
Gdf6,Bmpr1b,
Bmp10,Bmpr1b,
Efnb1,Epha7,
Apoe,Abca1,
Pltp,Abca1,
Apoa1,Abca1,
Nppb,Npr2,
Nppa,Npr2,
Wnt7a,Reck,
Lep,Leprot,
Grn,Tnfrsf1b,
Adam17,Tnfrsf1b,
Efna5,Epha8,
Ihh,Ptch2,
Cck,Cckar,
Fgf21,Klb,
Fgf15,Klb,
Gnrh1,Gnrhr,
Tgfb2,Tgfbr3,
Thbs1,Scarb2,
Bgn,P2rx4,
Mmp14,Flt1,
Vegfa,Flt1,
S100a10,Trpv5,
S100a10,Trpv6,
Tac1,Tacr1,
Tac2,Tacr1,
Vwf,Gp9,
Nrtn,Ret,
Artn,Ret,
Shank3,Ret,
Apoe,Lrp6,
Wnt8b,Lrp6,
Sostdc1,Lrp6,
Wnt4,Lrp6,
Apob,Lrp6,
Wnt5b,Lrp6,
Dkk4,Lrp6,
Tdgf1,Lrp6,
Pth,Lrp6,
Rspo3,Lrp6,
Wnt5a,Lrp6,
Grn,Tnfrsf1a,
Adam17,Tnfrsf1a,
Fadd,Tnfrsf1a,
Izumo1,Cd9,
Adam17,Cd9,
Adam3,Cd9,
Slurp1,Chrna7,
Fgf2,Lyve1,
Cck,Cckbr,
Fgf2,Gpc4,
Col18a1,Gpc4,
Lgals3,Il13ra2,
Il15,Il2rg,
Il7,Il2rg,
Tac1,Grpr,
Grp,Grpr,
Avp,Avpr2,
Amelx,Lamp1,
Wnt7b,Adgra2,
Cd14,Tlr3,
Afdn,Nectin1,
Psen1,Nectin1,
Ntn1,Mcam,
Pcsk9,Ldlr,
Apoe,Ldlr,
Apob,Ldlr,
Lipc,Ldlr,
Prnd,Rpsa,
Ptma,Vipr1,
Adcyap1,Vipr1,
Efnb1,Ephb1,
Mst1,Mst1r,
Rspo2,Lgr6,
Rspo3,Lgr6,
Rspo4,Lgr6,
Gdf10,Bmpr1a,
Bmp6,Bmpr1a,
Bmp8a,Bmpr1a,
Gdf7,Bmpr1a,
Bmp4,Bmpr1a,
Gdf6,Bmpr1a,
Amh,Bmpr1a,
Cxcl12,Cmklr1,
Lep,Lepr,
Ntf3,Ntrk3,
Bdnf,Ntrk3,
Ngf,Ntrk3,
Ccl1,Ccr8,
Flt3l,Flt3,
Ccl5,Ccr3,
Cxcl9,Ccr3,
Rspo3,Fzd8,
Wnt5a,Fzd8,
Bdnf,Sorcs2,
Ngf,Sorcs2,
Icam1,Muc1,
Il22,Il22ra2,
Gpc3,Cd81,
Adam10,Lrp1,
Vwf,Lrp1,
Ctsd,Lrp1,
Pcsk9,Lrp1,
Apoe,Lrp1,
Hsp90aa1,Lrp1,
Hspa1b,Lrp1,
Thbs1,Lrp1,
Psap,Lrp1,
Cxcl12,Dpp4,
Cxcl9,Dpp4,
Gip,Dpp4,
Cxcl10,Dpp4,
Gcg,Dpp4,
Adcyap1,Dpp4,
Spp1,Itga9,
Adam12,Itga9,
Tnc,Itga9,
Nms,Nmur2,
Cxcl2,Ackr1,
Bsg,Slc16a1,
Cd14,Tlr4,
Hmgb1,Tlr4,
Tnc,Tlr4,
Cxcl10,Tlr4,
Sftpd,Tlr4,
S100a9,Tlr4,
S100a1,Tlr4,
S100a8,Tlr4,
Retn,Tlr4,
Npb,Npbwr1,
Bmp4,Hjv,
Bmp6,Hjv,
Vegfa,Gpc1,
Ihh,Gpc1,
Col18a1,Gpc1,
Rspo2,Lgr4,
Rspo3,Lgr4,
Adcyap1,Ramp3,
Pon2,Htr2a,
Tnfsf12,Tnfrsf25,
Cd14,C3ar1,
Wnt5a,Ror1,
Vwf,Stab2,
Calm1,Trpc5,
Hsp90aa1,Cftr,
Fyn,Spn,
Icam1,Spn,
Bsg,Spn,
Lcn2,Slc22a17,
Wnt7b,Fzd4,
Wnt5a,Fzd4,
Cxcl12,Oprd1,
Gnai2,Oprd1,
Ccl27a,Ackr2,
Ccl21a,Ackr2,
Ccl28,Ackr2,
Sema4c,Plxnb2,
Vwf,Gp5,
Ccl20,Cxcr3,
Cxcl9,Cxcr3,
Ccl21a,Cxcr3,
Pdcd1lg2,Pdcd2,
Liph,Lpar1,
Gnai2,Mtnr1b,
Rtn4,S1pr2,
Hmgb1,Cxcr4,
Wnt5a,Fzd9,
Apela,Aplnr,
Lama2,Itga2,
Vwf,Itga2,
Col4a3,Itga2,
Col8a1,Itga2,
Adam10,Erbb2,
Btc,Erbb2,
L1cam,Erbb2,
Nrg1,Erbb2,
Gnai2,Cnr1,
Nps,Npsr1,
Vwf,Gp1ba,
Apoe,Sorl1,
Wnt7b,Fzd1,
Wnt5a,Fzd1,
Rtn4,Lingo1,
Vwf,Gp1bb,
Efna5,Epha5,
Hmgb1,Tlr1,
Adam12,Tgfbr2,
Rtn3,Rtn4r,
Rtn4,Rtn4r,
Calm1,Kcnq3,
Prl8a2,Pgr,
Ntn1,Neo1,
Rgmb,Neo1,
Rgma,Neo1,
Cxcl12,Gpr17,
Adcyap1,Adcyap1r1,
Ccl26,Cx3cr1,
Hspg2,Ptprs,
Bsg,Slc16a7,
Nppb,Npr3,
Nppa,Npr3,
Ostn,Npr3,
Lefty2,Acvr2a,
Cthrc1,Fzd5,
Hmgb1,Itgam,
Cfh,Itgam,
Hp,Itgam,
Cxcl12,Ackr3,
Col18a1,Itgb5,
Spp1,Itgb5,
Gh,Ghr,
Cxcl12,Agtr1a,
Efna5,Epha1,
Afdn,Nectin2,
Ntn1,Unc5b,
Col8a1,Itga1,
Ngf,Sorcs3,
Ihh,Hhip,
Vwf,Tnfrsf11b,
Dll4,Notch2,
Dll3,Notch2,
Psen1,Notch2,
Dlk1,Notch2,
Egfl7,Notch2,
Ntf3,Ntrk2,
Apoe,Lrp2,
Selenop,Lrp2,
Tcn2,Lrp2,
Cubn,Lrp2,
Nrg3,Erbb3,
Nrg2,Erbb3,
L1cam,Erbb3,
Fgf3,Fgfr1,
Fgf11,Fgfr1,
Ncam1,Fgfr1,
Fgf14,Fgfr1,
Fgf12,Fgfr1,
Colq,Musk,
Agrn,Musk,
Wnt11,Musk,
Calm1,Scn10a,
Hmgb1,Tlr9,
Ptn,Alk,
Bmp6,Bmpr2,
Gdf2,Bmpr2,
Dll4,Notch3,
Dll3,Notch3,
Psen1,Notch3,
Dlk1,Notch3,
Egfl7,Notch3,
Thbs2,Notch3,
Fgf3,Fgfr3,
Fgf11,Fgfr3,
Fgf14,Fgfr3,
Hsp90aa1,Fgfr3,
Fgf12,Fgfr3,
Col4a6,Itgb1,
Col4a5,Itgb1,
Fga,Itgb1,
Jam2,Itgb1,
Tnc,Itgb1,
Hspg2,Itgb1,
Col4a3,Itgb1,
L1cam,Itgb1,
Spp1,Itgb1,
Lama2,Itgb1,
Reln,Itgb1,
Lgals3,Itgb1,
Ptn,Ptprz1,
Vegfa,Ptprz1,
Gdf10,Acvr1,
Bmp6,Acvr1,
Gdf2,Acvr1,
Igf2,Insr,
Ptn,Ptprb,
Vegfa,Ptprb,
Gip,Gipr,
Ccl20,Ccr6,
Tnc,Itga7,
Col4a6,Cd93,
Vwf,Itga2b,
Fga,Itga2b,
Reln,Itga2b,
Rtn4,Cntnap1,
Sftpa1,Sirpa,
Omg,Rtn4rl1,
Ngf,Trpv1,
Ngf,Sort1,
Vwf,Itga4,
Jam2,Itga4,
Spp1,Itga4,
Thpo,Mpl,
Icosl,Icos,
Agrn,Atp1a3,
Slit2,Robo4,
Hspg2,Col13a1,
Calm1,Oprm1,
Ntn1,Unc5c,
Lgals3,Itgb4,
Apoe,Lrp8,
Reln,Lrp8,
Tctn1,Tmem67,
Nxph1,Nrxn2,
Vegfa,Kdr,
Vegfa,Nrp2,
Wnt11,Fzd7,
Slit2,Robo3,
Sema6b,Plxna4,
Slit2,Robo2,
Ihh,Cdon,
Nrg3,Erbb4,
Nrg4,Erbb4,
Adamts3,Ccbe1,
Bmp6,Acvr2b,
Pdgfd,Pdgfra,
Apoe,Vldlr,
C3,ITGB2,ITGAX
C3,ITGB2,ITGAM
Il1f8,IL1RL2,IL1RAP
Gpi1,AMFR,
C3,C5AR2,
Saa2,CD36,
Fgf15,FGFR1,
Fgf15,FGFR2,
Fgf15,FGFR3,
Fgf15,FGFR4,
Ins2,IGF1R,
ICAM5,Il6ra,
IGFBP7,Il6ra,
IGFBPL1,Il6ra,
LTF,Il6ra,
WFIKKN2,Il6ra,
H2-Aa,LAG3,
H2-Ab1,LAG3,
H2-Eb1,LAG3,
C3,NRP1,
C4b,NRP1,
Ccl2,Ccr3,
Il11,Gm13305,
Il11,LOC100861969,
Il11,Gm2002,
Il11,Il11ra2,
Il12a,Il12rb2,
Csf2,Csf2rb2,
Il5,Csf2rb2,
Il9,Il2rg,
Plekho2,Pdgfrb,
Ifnk,Ifnar1,
Ifne,Ifnar1,
Il22,Il10rb,
Iltifb,Il22ra2,
Ifnl2,Ifnlr1,
Ifnl3,Ifnlr1,
Inhba,Acvr1,
Inhbb,Acvr1,
Inhbb,Acvr1b,
Inhbc,Acvr1,
Inhbe,Acvr1,
Gdf5,Bmpr1a,
Il25,Il17ra,
Il17c,Il17ra,
H2-DMa,Cd4,
H2-K1,Cd8a,
H2-D1,Cd8a,
Gm8909,Cd8a,
H2-Bl,Cd8a,
Gm10499,Cd8a,
H2-Q4,Cd8a,
H2-Q6,Cd8a,
H2-Q7,Cd8a,
H2-Q10,Cd8a,
H2-Q1,Cd8a,
H2-Q2,Cd8a,
Itgb2,Cd226,
Itgb2,Icam1,
Itgam,Icam1,
Itgb1,Vcam1,
Itga4,Vcam1,
Itga9,Vcam1,
Pecam1,Pecam1,
Cdh2,Cdh2,
Cntn1,Nrcam,
Ncam1,Ncam1,
L1cam,L1cam,
Cdh1,Cdh1,
Cdh4,Cdh4,
Alcam,Cd6,
Ptprc,Cd22,
Cd40,Cd40lg,
Ocln,Ocln,
F11r,F11r,
Jam2,Jam2,
Jam3,Jam2,
Jam2,Jam3,
Jam3,Jam3,
Cdh5,Cdh5,
Selp,Selplg,
F11r,Itgb2,
F11r,Itgal,
L1cam,Ncam1,
Cadm1,Cadm1,
Cntn2,Cntn2,
Cntn2,L1cam,
Nfasc,Cntn1,
Cntn2,Cntnap2,
Mpz,Mpz,
Mag,Mag,
Cldn11,Cldn11,
Cdh3,Cdh3,
Cd80,Cd274,
F11r,Jam2,
F11r,Jam3,
Lrrc4c,Ntng1,
Lrrc4,Ntng2,
Cga,Fshr,
Cga,Lhcgr,
Cga,Tshr,
Col1a1,Itga1,
Lamc3,Itgb1,
Col1a1,Itga2,
Lamc3,Itga3,
Comp,Itga3,
Comp,Itgb1,
Col1a1,Itga3,
Fn1,Itga4,
Lamc3,Itga6,
Lamc3,Itga7,
Fn1,Itga8,
Vtn,Itgb1,
Col1a1,Itga9,
Lamc3,Itga9,
Col1a1,Itga10,
Col1a1,Itga11,
Fn1,Itgav,
Vtn,Itgb3,
Fn1,Itgb3,
Ibsp,Itgav,
Ibsp,Itgb3,
Comp,Itgb3,
Vtn,Itga2b,
Comp,Itga2b,
Ibsp,Itgb5,
Fn1,Itgb6,
Col1a1,Itgav,
Col1a1,Itgb8,
Fn1,Itgb8,
Lamc3,Itgav,
Lamc3,Itgb4,
Lamc3,Cd44,
Col1a1,Sdc1,
Fn1,Sdc1,
Comp,Sdc1,
Tnc,Sdc1,
Col1a1,Gp6,
Lamc3,Dag1,
Agrn,Dag1,
Hspg2,Dag1,
Adm2,Calcr,
Adm,Mrgprb1,
Adm,Mrgprx2,
Adm,Gpr182,
Adm,Calcr,
Rln1,Rxfp1,
Rln1,Rxfp2,
Rarres2,Cmklr1,
Rarres2,Gpr1,
Tshb,Tshr,
Saa1,Fpr2,
Saa2,Fpr2,
Yars,Cxcr1,
Rps19,C5ar1,
Ccl21a,Ackr4,
Cxcl12,Cxcr3,
Cxcl10,Ccr3,
Ccl5,Cxcr3,
Ccl2,Ccr1,
Ccl2,Ccr5,
Ccl2,Cxcr3,
Ccl12,Ccr5,
Gal,Galr3,
Gast,Cckar,
Gast,Cckbr,
Igf1,Trpv2,
Ins2,Insr,
Kiss1,Kiss1r,
Kng1,Bdkrb1,
Kng2,Bdkrb1,
Ndp,Fzd4,
Copa,Ntsr2,
Oxt,Avpr1b,
Oxt,Avpr1a,
Gh,Prlr,
Pth2,Pth1r,
Pthlh,Prlhr,
Pthlh,Pth2r,
Npy,Prlhr,
Ppy,Npffr1,
Ppy,Npffr2,
Ppy,Npy1r,
Ppy,Npy5r,
Ereg,Erbb4,
Crh,Mc2r,
Penk,Oprd1,
Penk,Oprm1,
Penk,Oprk1,
Penk,Mrgprb2,
Pdyn,Oprd1,
Pdyn,Oprm1,
Pomc,Oprk1,
a,Mc4r,
a,Mc5r,
a,Mc3r,
Agrp,Mc4r,
Pdgfc,Kdr,
Vip,Sctr,
A2m,Lrp1,
Aanat,Mtnr1a,
Aanat,Mtnr1b,
Adam15,Itga5,
Adam15,Itgb3,
Adam23,Itga5,
Adam23,Itgb3,
Adm2,Ramp1,
Adm,Calcrl,
Adm,Ramp2,
Angpt1,Tie1,
a,Mgrn1,
Bmp10,Acvr2a,
Bmp10,Acvr2b,
Bmp15,Acvr1,
Bmp15,Acvr2a,
Bmp15,Acvr2b,
Bmp3,Acvr1,
Bmp3,Bmpr1a,
Bmp3,Bmpr1b,
Bmp3,Bmpr2,
Bmp5,Acvr1,
Bmp5,Acvr2a,
Bmp5,Acvr2b,
Bmp6,Acvr2a,
Btc,Erbb3,
C3,Itgax,
Ccl12,Ackr2,
Ccl12,Ccr1,
Clec11a,Kit,
Col18a1,Itga5,
Col18a1,Itgb1,
Col1a1,Ddr1,
Col1a1,Ddr2,
Col2a1,Itga10,
Col2a1,Itgb1,
Col4a1,Itga1,
Col4a1,Itgb8,
Col5a3,Sdc3,
Ctgf,Itgam,
Ctgf,Itgb2,
Ctgf,Lrp6,
Cxcl1,Xcr1,
Cxcl2,Cxcr1,
Cyr61,Itga5,
Cyr61,Itgam,
Cyr61,Itgb2,
Cyr61,Itgb3,
Dhh,Hhip,
Dhh,Ptch2,
Dlk1,Notch4,
Dusp18,Itga3,
Dusp18,Itga6,
Dusp18,Itga7,
Dusp18,Itgb1,
Dusp18,Itgb4,
Dusp18,Rpsa,
Efnb3,Ephb4,
F2,F2r,
F2,F2rl3,
Fga,Itgax,
Fn1,Itga2,
Fn1,Sdc2,
Gad1,Grm4,
Ghrl,Gpr39,
Gpha2,Tshr,
Gpi1,Amfr,
Gstp1,Traf2,
Gstp2,Traf2,
Icam1,Itgax,
Icam4,Itga2b,
Icam4,Itgb2,
Icam4,Itgb3,
Ifna11,Ifnar1,
Ifna2,Ifnar1,
Ifna1,Ifnar1,
Ifna9,Ifnar1,
Ifna6,Ifnar1,
Ifnab,Ifnar1,
Ifna5,Ifnar1,
Gm12597,Ifnar1,
Ifna14,Ifnar1,
Ifna12,Ifnar1,
Ifna7,Ifnar1,
Ifna13,Ifnar1,
Gm13280,Ifnar1,
Ifna12,Ifnar2,
Il12b,Il12rb2,
Il13,Il2rg,
Il22,Il10ra,
Inha,Acvr1,
Inha,Acvr1b,
Inha,Acvr2b,
Inha,Tgfbr3,
Inhba,Bambi,
Lama1,Itgb8,
Lama1,Rpsa,
Lama2,Rpsa,
Lamb2,Rpsa,
Lrpap1,Lrp1,
Ltf,Lrp1,
Nampt,Insr,
Ncam1,Robo1,
Ncam1,Robo3,
Ndp,Lgr4,
Nid1,Ptprf,
Nov,Notch1,
Ntf5,Ntrk2,
Ntf5,Ntrk3,
Ntn3,Cdon,
Ntn4,Dcc,
Ntn4,Unc5a,
Omg,Tnfrsf1b,
Penk,Ogfr,
Pf4,Ldlr,
Plg,Itga9,
Plg,Itgb1,
Prn,Rpsa,
Ptdss1,Scarb1,
Ptgs2,Gpr44,
Qrfp,P2ry14,
Ren1,Atp6ap2,
Rtn4,Tnfrsf19,
Sema7a,Plxnc1,
Serpina1e,Lrp1,
Serpina1a,Lrp1,
Serpina1c,Lrp1,
Serpina1b,Lrp1,
Serpina1d,Lrp1,
Serpinc1,Lrp1,
Serpine2,Lrp1,
Serping1,Lrp1,
Shh,Boc,
Slit1,Sdc1,
Slit2,Gpc1,
Slit2,Sdc1,
Tfpi,Lrp1,
Tfpi,Vldlr,
Tgfb3,Acvrl1,
Thbs2,Cd47,
Tnf,Tnfrsf21,
Tph1,Htr1a,
Tph1,Htr1b,
Tph1,Htr1d,
Tph1,Htr1f,
Tph1,Htr2a,
Tph1,Htr2b,
Tph1,Htr2c,
Tph1,Htr4,
Tph1,Htr5a,
Tph1,Htr6,
Tph1,Htr7,
Vcam1,Itgad,
Vegfc,Vipr2,
Vtn,Itga5,
Wnt1,Fzd3,
Wnt1,Ryk,
Wnt3,Ryk,
Zp3,Mertk,
Ccl5,Sdc4,
Lama1,Gpc1,
Lama1,Sdc4,
Ccl5,Sdc1,
Calr,Tshr,
Camp,Igf1r,
Rspo2,Jmjd6,
Ctgf,Fgfr3,
Ctgf,Fgfr2,
Gdf9,Kit,
Tnf,Traf2,
Hgf,Sdc1,
Gm2023,Ackr2,
Ccl19,Ackr2,
LOC100043918,Ackr2,
Gm13309,Ackr2,
LOC100043921,Ackr2,
LOC100861618,Ackr2,
Gm12407,Ackr2,
Gm2564,Ackr2,
Gm2457,Ackr2,
Gm21104,Ackr2,
Cntf,Il6ra,
Ctgf,Lrp1,
Ctgf,Erbb4,
Ccl21b,Ackr2,
Gm13304,Ackr2,
LOC100041504,Ackr2,
Gm21541,Ackr2,
LOC100041593,Ackr2,
Gm10591,Ackr2,
Ccl21c,Ackr2,
Gm1987,Ackr2,
Hbegf,Cd44,
Ins2,Lrp2,
Ins2,Igf1r,
Lama1,Dag1,
Iapp,Ramp1,
Arf1,Insr,
Gm13306,Ackr2,
LOC100861978,Ackr2,
Gm2506,Ackr2,
Ccl27b,Ackr2,
Lama2,Dag1,
Apob,Calcr,
Wnt1,Ror2,
Ctgf,Egfr,
Pdgfb,Nrp1,
Efnb2,Epha5,
Efnb2,Sdc2,
Dkk1,Kit,
Fgf1,Gpc1,
Fgf1,Sdc4,
Fgf1,Sdc2,
Dlk1,Fgfr1,
Wnt3,Traf2,
