L1,L2,R1,R2,R3,original_row_index,old_LR_ID,new_LR_ID,ligand_complex_key,receptor_complex_key,LR_complex_key,interaction_class,ligand_component_count,receptor_component_count,LR_simplex_key,src_CellChatDB,src_NicheNet,src_CellPhoneDB,src_CellTalkDB,src_CITEdb,src_connectomeDB2020,src_exFINDER,src_ICELLNET,src_NATMI,src_STRING,src_SingleCellSignalR,src_LIANA_plus,src_connectomeDB2025,source_databases,source_database_count,resource_membership_count,primary_source_count,legacy_sources,update_sources,LIANA_consensus_member,LIANA_underlying_sources,LIANA_references,ConnectomeDB2025_member,ConnectomeDB2025_exact_support,ConnectomeDB2025_match_type,ConnectomeDB2025_component_support,ConnectomeDB2025_component_support_complete,ConnectomeDB2025_evidence,ConnectomeDB2025_PMIDs,ConnectomeDB2025_component_PMIDs,unique_PMIDs,PMID_count,experimental_evidence_count,species_support_type,orthology_inferred,orthology_source,gene_symbol_mapping_status,is_valid_LR,provenance_status,previously_removed_invalid_source,rescued_by_valid_source,quality_flags,related_complex_id,legacy_member,legacy_contexts,legacy_files,species,species_scientific_name,taxid,context,context_assignment,ConnectomeDB2025_evidence_all,ConnectomeDB2025_evidence_best,n_exact_duplicates_merged,merged_from_row_indices,n_contained_interactions_removed_under_this_LR
GDF5,,BMPR1A,ACVR2A,,15,DEVCOMLR:9541:038709D1A80C,mfascicularis_development_LR000011,GDF5,ACVR2A|BMPR1A,GDF5>>ACVR2A|BMPR1A,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,1,0,LIANA+,1,1,0,,LIANA+,1,nan,22710174;26893264;27481709,0,0,,0,0,,,,22710174;26893264;27481709,3,3,Legacy_native,1,Ensembl Compara/BioMart,NCBI/Ensembl_orthology_mapped,1,legacy_plus_LIANA,0,0,single_source;complex_interaction;orthology_inferred,,1,development,mfascicularis_L_R_develoment.csv,mfascicularis,Macaca fascicularis,9541,development,legacy_context_member,,,0,,0
GDF5,,BMPR1A,ACVR2B,,16,DEVCOMLR:9541:7971941FB477,mfascicularis_development_LR000012,GDF5,ACVR2B|BMPR1A,GDF5>>ACVR2B|BMPR1A,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,1,0,LIANA+,1,1,0,,LIANA+,1,nan,26893264;27481709,0,0,,0,0,,,,26893264;27481709,2,2,Legacy_native,1,Ensembl Compara/BioMart,NCBI/Ensembl_orthology_mapped,1,legacy_plus_LIANA,0,0,single_source;complex_interaction;orthology_inferred,,1,development,mfascicularis_L_R_develoment.csv,mfascicularis,Macaca fascicularis,9541,development,legacy_context_member,,,0,,0
GDF5,,BMPR1A,BMPR2,,17,DEVCOMLR:9541:9E994C62C4F4,mfascicularis_development_LR000013,GDF5,BMPR1A|BMPR2,GDF5>>BMPR1A|BMPR2,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,1,0,LIANA+,1,1,0,,LIANA+,1,nan,9525338;11282024;26893264;27481709,0,0,,0,0,,,,9525338;11282024;26893264;27481709,4,4,Legacy_native,1,Ensembl Compara/BioMart,NCBI/Ensembl_orthology_mapped,1,legacy_plus_LIANA,0,0,single_source;complex_interaction;orthology_inferred,,1,development,mfascicularis_L_R_develoment.csv,mfascicularis,Macaca fascicularis,9541,development,legacy_context_member,,,0,,0
GDF5,,BMPR1B,ACVR2A,,18,DEVCOMLR:9541:B7FC074241E6,mfascicularis_development_LR000014,GDF5,ACVR2A|BMPR1B,GDF5>>ACVR2A|BMPR1B,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,1,0,LIANA+,1,1,0,,LIANA+,1,nan,8702914;26893264;27252362;27481709,0,0,,0,0,,,,8702914;26893264;27252362;27481709,4,4,Legacy_native,1,Ensembl Compara/BioMart,NCBI/Ensembl_orthology_mapped,1,legacy_plus_LIANA,0,0,single_source;complex_interaction;orthology_inferred,,1,development,mfascicularis_L_R_develoment.csv,mfascicularis,Macaca fascicularis,9541,development,legacy_context_member,,,0,,0
GDF5,,BMPR1B,ACVR2B,,19,DEVCOMLR:9541:42DB80DED493,mfascicularis_development_LR000015,GDF5,ACVR2B|BMPR1B,GDF5>>ACVR2B|BMPR1B,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,1,0,LIANA+,1,1,0,,LIANA+,1,nan,8702914;26893264;27252362;27481709,0,0,,0,0,,,,8702914;26893264;27252362;27481709,4,4,Legacy_native,1,Ensembl Compara/BioMart,NCBI/Ensembl_orthology_mapped,1,legacy_plus_LIANA,0,0,single_source;complex_interaction;orthology_inferred,,1,development,mfascicularis_L_R_develoment.csv,mfascicularis,Macaca fascicularis,9541,development,legacy_context_member,,,0,,0
GDF5,,BMPR1B,BMPR2,,20,DEVCOMLR:9541:1DEAC8637492,mfascicularis_development_LR000016,GDF5,BMPR1B|BMPR2,GDF5>>BMPR1B|BMPR2,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,1,0,LIANA+,1,1,0,,LIANA+,1,nan,8702914;9525338;11282024;15569154;26893264;27252362;27481709,0,0,,0,0,,,,8702914;9525338;11282024;15569154;26893264;27252362;27481709,7,7,Legacy_native,1,Ensembl Compara/BioMart,NCBI/Ensembl_orthology_mapped,1,legacy_plus_LIANA,0,0,single_source;complex_interaction;orthology_inferred,,1,development,mfascicularis_L_R_develoment.csv,mfascicularis,Macaca fascicularis,9541,development,legacy_context_member,,,0,,0
GDF6,,BMPR1A,ACVR2A,,21,DEVCOMLR:9541:012E6D472C7A,mfascicularis_development_LR000017,GDF6,ACVR2A|BMPR1A,GDF6>>ACVR2A|BMPR1A,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,1,0,LIANA+,1,1,0,,LIANA+,1,nan,26893264;27481709,0,0,,0,0,,,,26893264;27481709,2,2,Legacy_native,1,Ensembl Compara/BioMart,NCBI/Ensembl_orthology_mapped,1,legacy_plus_LIANA,0,0,single_source;complex_interaction;orthology_inferred,,1,development,mfascicularis_L_R_develoment.csv,mfascicularis,Macaca fascicularis,9541,development,legacy_context_member,,,0,,0
GDF6,,BMPR1A,ACVR2B,,22,DEVCOMLR:9541:508E25CA33AE,mfascicularis_development_LR000018,GDF6,ACVR2B|BMPR1A,GDF6>>ACVR2B|BMPR1A,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,1,0,LIANA+,1,1,0,,LIANA+,1,nan,26893264;27481709,0,0,,0,0,,,,26893264;27481709,2,2,Legacy_native,1,Ensembl Compara/BioMart,NCBI/Ensembl_orthology_mapped,1,legacy_plus_LIANA,0,0,single_source;complex_interaction;orthology_inferred,,1,development,mfascicularis_L_R_develoment.csv,mfascicularis,Macaca fascicularis,9541,development,legacy_context_member,,,0,,0
GDF6,,BMPR1A,BMPR2,,23,DEVCOMLR:9541:AF04EE988951,mfascicularis_development_LR000019,GDF6,BMPR1A|BMPR2,GDF6>>BMPR1A|BMPR2,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,1,0,LIANA+,1,1,0,,LIANA+,1,nan,9525338;16049014;26893264;27481709,0,0,,0,0,,,,9525338;16049014;26893264;27481709,4,4,Legacy_native,1,Ensembl Compara/BioMart,NCBI/Ensembl_orthology_mapped,1,legacy_plus_LIANA,0,0,single_source;complex_interaction;orthology_inferred,,1,development,mfascicularis_L_R_develoment.csv,mfascicularis,Macaca fascicularis,9541,development,legacy_context_member,,,0,,0
GDF6,,BMPR1B,ACVR2A,,24,DEVCOMLR:9541:F0D0A18944E7,mfascicularis_development_LR000020,GDF6,ACVR2A|BMPR1B,GDF6>>ACVR2A|BMPR1B,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,1,0,LIANA+,1,1,0,,LIANA+,1,nan,26893264;27252362;27481709,0,0,,0,0,,,,26893264;27252362;27481709,3,3,Legacy_native,1,Ensembl Compara/BioMart,NCBI/Ensembl_orthology_mapped,1,legacy_plus_LIANA,0,0,single_source;complex_interaction;orthology_inferred,,1,development,mfascicularis_L_R_develoment.csv,mfascicularis,Macaca fascicularis,9541,development,legacy_context_member,,,0,,0
GDF6,,BMPR1B,ACVR2B,,25,DEVCOMLR:9541:4FF921C1B245,mfascicularis_development_LR000021,GDF6,ACVR2B|BMPR1B,GDF6>>ACVR2B|BMPR1B,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,1,0,LIANA+,1,1,0,,LIANA+,1,nan,26893264;27252362;27481709,0,0,,0,0,,,,26893264;27252362;27481709,3,3,Legacy_native,1,Ensembl Compara/BioMart,NCBI/Ensembl_orthology_mapped,1,legacy_plus_LIANA,0,0,single_source;complex_interaction;orthology_inferred,,1,development,mfascicularis_L_R_develoment.csv,mfascicularis,Macaca fascicularis,9541,development,legacy_context_member,,,0,,0
GDF6,,BMPR1B,BMPR2,,26,DEVCOMLR:9541:CDAC6C17832A,mfascicularis_development_LR000022,GDF6,BMPR1B|BMPR2,GDF6>>BMPR1B|BMPR2,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,1,0,LIANA+,1,1,0,,LIANA+,1,nan,9525338;16049014;26893264;27252362;27481709,0,0,,0,0,,,,9525338;16049014;26893264;27252362;27481709,5,5,Legacy_native,1,Ensembl Compara/BioMart,NCBI/Ensembl_orthology_mapped,1,legacy_plus_LIANA,0,0,single_source;complex_interaction;orthology_inferred,,1,development,mfascicularis_L_R_develoment.csv,mfascicularis,Macaca fascicularis,9541,development,legacy_context_member,,,0,,0
GDF7,,BMPR1A,ACVR2A,,27,DEVCOMLR:9541:95C2A59A89B7,mfascicularis_development_LR000023,GDF7,ACVR2A|BMPR1A,GDF7>>ACVR2A|BMPR1A,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,1,0,LIANA+,1,1,0,,LIANA+,1,nan,26893264;27481709,0,0,,0,0,,,,26893264;27481709,2,2,Legacy_native,1,Ensembl Compara/BioMart,NCBI/Ensembl_orthology_mapped,1,legacy_plus_LIANA,0,0,single_source;complex_interaction;orthology_inferred,,1,development,mfascicularis_L_R_develoment.csv,mfascicularis,Macaca fascicularis,9541,development,legacy_context_member,,,0,,0
GDF7,,BMPR1A,ACVR2B,,28,DEVCOMLR:9541:EB45714148EA,mfascicularis_development_LR000024,GDF7,ACVR2B|BMPR1A,GDF7>>ACVR2B|BMPR1A,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,1,0,LIANA+,1,1,0,,LIANA+,1,nan,22710174;26893264;27481709,0,0,,0,0,,,,22710174;26893264;27481709,3,3,Legacy_native,1,Ensembl Compara/BioMart,NCBI/Ensembl_orthology_mapped,1,legacy_plus_LIANA,0,0,single_source;complex_interaction;orthology_inferred,,1,development,mfascicularis_L_R_develoment.csv,mfascicularis,Macaca fascicularis,9541,development,legacy_context_member,,,0,,0
GDF7,,BMPR1A,BMPR2,,29,DEVCOMLR:9541:0B5387C104FF,mfascicularis_development_LR000025,GDF7,BMPR1A|BMPR2,GDF7>>BMPR1A|BMPR2,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,1,0,LIANA+,1,1,0,,LIANA+,1,nan,16049014;26893264;27481709,0,0,,0,0,,,,16049014;26893264;27481709,3,3,Legacy_native,1,Ensembl Compara/BioMart,NCBI/Ensembl_orthology_mapped,1,legacy_plus_LIANA,0,0,single_source;complex_interaction;orthology_inferred,,1,development,mfascicularis_L_R_develoment.csv,mfascicularis,Macaca fascicularis,9541,development,legacy_context_member,,,0,,0
GDF7,,BMPR1B,ACVR2A,,30,DEVCOMLR:9541:5D16DBE74A36,mfascicularis_development_LR000026,GDF7,ACVR2A|BMPR1B,GDF7>>ACVR2A|BMPR1B,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,1,0,LIANA+,1,1,0,,LIANA+,1,nan,16049014;26893264;27252362;27481709,0,0,,0,0,,,,16049014;26893264;27252362;27481709,4,4,Legacy_native,1,Ensembl Compara/BioMart,NCBI/Ensembl_orthology_mapped,1,legacy_plus_LIANA,0,0,single_source;complex_interaction;orthology_inferred,,1,development,mfascicularis_L_R_develoment.csv,mfascicularis,Macaca fascicularis,9541,development,legacy_context_member,,,0,,0
