from,to
AHR,CBX5
AHR,LSM3
AHR,GLG1
AHR,BOD1
AHR,NFE2L1
AHR,KNTC1
AHR,TXN2
AHR,TCF25
AHR,WDSUB1
AHR,SPG7
AHR,TMEM161B
AHR,WASL
AHR,NUP35
AHR,DNAJC1
AHR,MRPS28
AHR,TBC1D22A
AHR,TAOK1
AHR,ABHD17C
AHR,BRD7
AHR,KLHDC4
AHR,TESK2
AHR,TMEM97
AHR,CCNJL
AHR,MCHR1
AHR,HDAC5
AHR,MRPS22
AHR,EDC3
AHR,ANKRD13C
AHR,METAP1D
AHR,MCEE
AHR,TMEM120B
AHR,PYGL
AHR,NSUN6
AHR,UACA
AHR,PLEKHA7
AHR,RMI2
AHR,MS4A7
AHR,PSPC1
AHR,COQ4
AHR,OSCP1
AHR,CHURC1
AHR,ASB7
AHR,DCAF7
AHR,YEATS2
AHR,RECQL5
AHR,ZNF302
AHR,ERCC6
AHR,JMY
AHR,PPP1R2
AHR,PRPS1
AHR,CALR3
AHR,RBM5
AHR,F8A1
AHR,PARP4
AHR,DNPEP
AHR,UHRF1BP1
AHR,ALDH1L1
AHR,MYO18B
AHR,CCR7
AHR,COTL1
AHR,POLR3GL
AHR,PADI1
AHR,PRRC2B
AHR,DEGS1
AHR,PDXK
AHR,MIR21
AHR,CDYL2
AHR,ANO4
AHR,PRELID2
AHR,STPG1
AHR,ADD2
AHR,BEND5
AHR,STRIP2
AHR,DICER1
AHR,MID1IP1
AHR,SPDEF
AHR,RAB10
AHR,MB
AHR,MFSD6
AHR,TRIM55
AHR,CD99L2
AHR,SNX12
AHR,MIR802
AHR,TMEM150C
AHR,TTC39B
AHR,UMODL1
AHR,PNPLA7
AHR,HEBP1
AHR,SEC61B
AHR,FXR1
AHR,TRAFD1
AHR,KCNF1
AHR,GPR45
AHR,GLDN
AHR,NECAB1
AHR,TEKT5
AHR,ALS2CL
AHR,SLC5A6
AHR,WIZ
AHR,PXDNL
AHR,CLEC14A
AHR,MCHR2
AHR,PTPN21
AHR,KRT5
AHR,MYL10
AHR,CTPS2
AHR,ATP4B
AHR,KRT31
AHR,AXDND1
AHR,IQCH
AHR,PHF14
AHR,IKZF3
AHR,ABHD12B
AHR,HSF2BP
AHR,FAM151B
AHR,SNX25
AHR,EFR3B
AHR,FAXDC2
AHR,IL1R2
AHR,FAM155A
AHR,LRRC69
AHR,NUDT7
AHR,P2RY2
AHR,S100A4
AHR,MIR146A
AHR,PTGDR
AHR,SHISA7
AHR,KIAA1549
AHR,FER1L6
AHR,LDLRAD1
AHR,SNAR-E
AHR,TTC23L
AHR,CST5
AHR,LYZL2
AHR,PA2G4P4
AHR,BMS1P18
AHR,MIR135A2
AHR,OR4H12P
AHR,ZNF662
AHR,OR13H1
AHR,CT62
AHR,BPIFA4P
AHR,SBK2
AHR,PSG6
AHR,C1QTNF9B
AHR,RAB9BP1
AHR,SOX2-OT
AHR,MAGEB2
AHR,OR8S1
AHR,CD7
AHR,KRT81
AHR,CEACAM6
AHR,WFDC10B
AHR,OR4Q3
AHR,CDKN2B-AS1
AHR,FSCB
AHR,LINC00589
AHR,CYP4F29P
AHR,WLS
AHR,CCDC170
AHR,SLC25A17
AHR,CCDC74A
AHR,ENTPD3
AHR,NCCRP1
AHR,NNT
AHR,ALDH3B2
AHR,TCEANC
AHR,ELF3
AHR,N4BP3
AHR,TFF1
AHR,GSTM3
AHR,ELF4
AHR,SUGT1P1
AHR,GAPVD1
AHR,XIAP
AHR,MIR548A3
AHR,SLC16A14
AHR,MIR181A1
AHR,KCNB2
AHR,MRPS9
AHR,GPX3
AHR,RFX8
AHR,WDFY4
AHR,NPBWR2
AHR,KCNV1
ARNT,RTP5
ARNT,NDUFAF6
ARNT,CHM
ARNT,MIR138-1
ARNT,DPY19L1
ARNT,PABPC3
ARNT,CP
ARNT,SERPINA5
ARNT,ANKRD29
ARNT,RGN
ARNT,FILIP1L
ARNT,ELL
ARNT,DNMBP
ARNT,SORBS3
ARNT,WFDC1
ARNT,LITAF
ARNT,EXT2
ARNT,SH3RF2
ARNT,TUFT1
ARNT,PPP3CA
ARNT,SLC24A3
ARNT,MYO3B
ARNT,ATXN1
ARNT,CHST11
ARNT,DISC1
ARNT,GPC6
ARNT,MYB
ARNT,SSBP2
ARNT,FANCC
ARNT,PTPRJ
ARNT,ST3GAL1
ARNT,LIPC
ARNT,DNM3
ARNT,SLC1A2
ARNT,ANO1
ARNT,TSHZ2
ARNT,EPAS1
ARNT,COL18A1
ARNT,PITPNC1
ARNT,SLC38A2
ARNT,ADK
ARNT,CHD2
ARNT,MPHOSPH6
ARNT,MDM4
ARNT,TXNRD1
ARNT,PARN
ARNT,APBB2
ARNT,VMP1
ARNT,MB21D2
ARNT,RND3
ARNT,KAT6B
ARNT,SLC44A1
ARNT,MBP
ARNT,STARD13
ARNT,LPIN1
ARNT,RARA
ARNT,PPP2R5C
ARNT,SYK
ARNT,IRF2BP2
ARNT,TNS1
ARNT,SUGCT
ARNT,FAM53B
ARNT,ITPK1
ARNT,ZNF710
ARNT,EHD4
ARNT,SIPA1L3
ARNT,IGSF3
ARNT,FAM102A
ARNT,MREG
ARNT,SLC1A3
ARNT,BMPR2
ARNT,ZNF608
ARNT,SRPK2
ARNT,CCND1
ARNT,NCOA2
ARNT,ZNRF1
ARNT,CDK6
ARNT,PIK3C2B
ARNT,GRM4
ARNT,KSR1
ARNT,ADAMTS17
ARNT,GNG12
ARNT,RAI1
ARNT,NRIP1
ARNT,NUAK1
ARNT,GPD2
ARNT,KAT2B
ARNT,LAMB1
ARNT,ZNF516
ARNT,BTBD3
ARNT,CPEB4
ARNT,NR3C1
ARNT,LDLRAD3
ARNT,PRUNE2
ARNT,EFEMP1
ARNT,INSC
ARNT,HAAO
ARNT,DIP2B
ARNT,ADAMTSL3
ARNT,GRHL1
ARNT,TSNARE1
ARNT,ICOSLG
ARNT,SLC44A2
ARNT,CLMN
ARNT,LRP5
ARNT,NEDD9
ARNT,CRISPLD2
ARNT,RUNX2
ARNT,TPCN1
ARNT,PHLDA1
ARNT,TBC1D8
ARNT,SYNJ2
ARNT,TTC39A
ARNT,CMTM8
ARNT,KRT18
ARNT,PTPRN2
ARNT,LIN7A
ARNT,WIPF1
ARNT,STAU2
ARNT,CBFA2T3
ARNT,SHB
ARNT,ARSG
ARNT,PITPNM2
ARNT,ATP8B4
ARNT,ASCC2
ARNT,EML6
ARNT,FRMD5
ARNT,RASGRF2
ARNT,LGR4
ARNT,RBM20
ARNT,ATP8A2
ARNT,PIEZO2
ARNT,FAT2
ARNT,HCRTR2
ARNT,ITGB6
ARNT,SLC3A1
ARNT,CEMIP
ARNT,LHFPL2
ARNT,SEMA3C
ARNT,COL26A1
ARNT,KCNK2
ARNT,PDE8B
ARNT,LRIG3
ARNT,GNA14
ARNT,MPDZ
ARNT,EYA2
ARNT,MAPKAP1
ARNT,FAM174B
ARNT,NTN4
ARNT,NCKAP5
ARNT,SLCO2A1
ARNT,ATP9A
ARNT,DHCR7
ARNT,RIN2
ARNT,CDK15
ARNT,YPEL2
ARNT,DHRS2
ARNT,FSIP1
ARNT,NBPF1
ARNT,MIAT
ARNT,FAM102B
ARNT,FBLN2
ARNT,RARRES1
ARNT,KCNU1
ARNT,SLC1A7
ARNT,FBXW8
ARNT,RASSF8
ARNT,TTLL7
ARNT,CCNB1IP1
ARNT,HLCS
ARNT,MLPH
ARNT,EVL
ARNT,PAK2
ARNT,HEY1
ARNT,CELSR1
ARNT,PDE9A
ARNT,FAM178B
ARNT,ZBTB38
ARNT,TAMM41
ARNT,LMO7
ARNT,PTPRK
ARNT,RNGTT
ARNT,FGD2
ARNT,FOXN4
ARNT,NHS
ARNT,SUSD1
ARNT,TMEM45B
ARNT,GBE1
ARNT,PPARG
ARNT,NIN
ARNT,SGPP1
ARNT,DOK6
ARNT,CDKL4
ARNT,ABLIM3
ARNT,PCBP3
ARNT,ADAM12
ARNT,KCNJ6
ARNT,DRD1
ARNT,EDIL3
ARNT,PRIMA1
ARNT,CWH43
ARNT,GMPR
ARNT,DNAJC5B
ARNT,IL1RAPL1
ARNT,DUSP16
ARNT,USP24
ARNT,FBXO21
ARNT,ODC1
ARNT,INPP5F
ARNT,MYOF
ARNT,CNTNAP5
ARNT,TP63
ARNT,KCNJ3
ARNT,GRIA2
ARNT,GULP1
ARNT,ACKR3
ARNT,CD180
ARNT,SH2D4B
ARNT,FBXW7
ARNT,AGR3
ARNT,SLC16A7
ARNT,SI
ARNT,GPATCH2
ARNT,SLC4A3
ARNT,BASP1
ARNT,LRRC4C
ARNT,KLF12
ARNT,SHROOM3
ARNT,TRIQK
ARNT,KLF4
ARNT,LYZL1
ARNT,TNP1
ARNT,CNTNAP4
ARNT,SV2B
ARNT,FLVCR2
ARNT,DNAH5
ARNT,NYAP2
ARNT,KCNC2
ARNT,NOVA1
ARNT,GRB14
ARNT,KIF5C
ARNT,SLCO4C1
ARNT,TTC8
ARNT,CYP4B1
ARNT,PAK1
ARNT,CRB2
ARNT,PRDM15
ARNT,KIZ
ARNT,DEPTOR
ARNT,EPC1
ARNT,WWP1
ARNT,RRAGC
ARNT,AHI1
ARNT,RRS1
ARNT,LEO1
ARNT,PPP1R26
ARNT,FZD10
ARNT,INHBB
ARNT,BMP7
ARNT,PAX5
ARNT,RPRM
ARNT,CABLES1
ARNT,CLSTN2
ARNT,FOXL1
ARNT,SYT10
ARNT,FLRT2
ARNT,HTR7
ARNT,HS6ST3
ARNT,LEPR
ARNT,EMX1
ARNT,FOXG1
ARNT,FOXB1
ARNT,NEUROG2
ARNT,ONECUT1
ARNT,PAX2
ARNT,SIM1
ARNT,OSR1
ARNT,BARX1
ARNT,CDX2
ARNT,PAX1
ARNT,FZD1
ARNT,KCTD8
ARNT,MKX
ARNT,LRFN5
ARNT,SHH
ARNT,SSTR1
ARNT,ARL4C
ARNT,EPHA4
ARNT,MSX2
ARNT,NR4A2
ARNT,TLE1
ARNT,SALL1
ARNT,TBX3
ARNT,TFAP2A
ARNT,TFAP2C
ARNT,MEIS1
ARNT,LEF1
ARNT,SMAD6
ARNT,GRHL2
ARNT,DLL1
ARNT,DUSP4
ARNT,FGF3
ARNT,FREM2
ARNT,FIGN
ARNT,NR2F2
ARNT,ENPP1
ARNT,FGFR2
ARNT,NRP1
ARNT,IRS1
ARNT,TGFB2
ARNT,TRIB2
ARNT,SHC4
ARNT,SIDT1
ARNT,HEY2
ARNT,IGFBP5
ARNT,ARHGEF26
ARNT,AR
ARNT,VSTM2A
ARNT,CNR1
ARNT,ID4
ARNT,PROK2
ARNT,SSTR4
ARNT,SEMA3F
ARNT,VOPP1
ARNT,WNT9A
ARNT,GPR26
ARNT,BACE2
ARNT,MESP1
ARNT,FOSL2
ARNT,FRAT1
ARNT,RGS10
ARNT,POU2F3
ARNT,CPEB2
ARNT,GPRC5C
ARNT,CXCL12
ARNT,E2F6
ARNT,ATP11A
ARNT,CDH6
ARNT,STC2
ARNT,PERP
ARNT,SLC27A2
ARNT,SOCS2
ARNT,ADAMTS15
ARNT,ALDH1A3
ARNT,PCDH18
ARNT,POU3F4
ARNT,AREG
ARNT,OBSL1
ARNT,VIPR1
ARNT,FBP1
ARNT,IL1RAPL2
ARNT,SLC9A7
ARNT,SOD3
ARNT,TGFBI
ARNT,USP25
ARNT,JDP2
ARNT,TMEM229B
ARNT,NOD1
ARNT,A4GALT
ARNT,SPARC
ARNT,ATP6V1G3
ARNT,MAP10
ARNT,NRSN1
ARNT,GSTP1
ARNT,TRH
ARNT,BRWD1
ARNT,XRN2
ARNT,RERG
ARNT,PRDM1
ARNT,ALPI
ARNT,SPIRE2
ARNT,DNMT3L
ARNT,NHSL1
ARNT,IRGM
ARNT,CPXM2
ARNT,DSCAM
ARNT,KLHL13
ARNT,DYNC1LI1
ARNT,IQSEC2
ARNT,SEMA3B
ARNT,PLEK2
ARNT,KRR1
ARNT,MAP3K7
ARNT,COX6C
ARNT,FBXO33
ARNT,NMT1
ARNT,BUB3
ARNT,ZCCHC8
ARNT,TMEM123
ARNT,EAPP
ARNT,PPP2R3C
ARNT,ABCC5
ARNT,PSAT1
ARNT,RAD23B
ARNT,OGDH
ARNT,OSBPL11
ARNT,ABCC4
ARNT,SPIRE1
ARNT,VAPA
ARNT,HBS1L
ARNT,ABHD2
ARNT,SLC7A5
ARNT,FN1
ARNT,IRF2BPL
ARNT,ATP1B1
ARNT,MAX
ARNT,RAI14
ARNT,SALL4
ARNT,CITED2
ARNT,UBC
ARNT,DDIT4
ARNT,HES1
ARNT,TLE3
ARNT,BMF
ARNT,SLC30A1
ARNT,NFE2L2
ARNT,PARD6B
ARNT,AHDC1
ARNT,RPTOR
ARNT,CALM2
ARNT,PIK3R1
ARNT,PTPN1
ARNT,RAB4A
ARNT,ATXN7L1
ARNT,DNAJB6
ARNT,INSIG1
ARNT,SYPL1
ARNT,ZNF184
ARNT,FAM120B
ARNT,SUPT3H
ARNT,SLC17A5
ARNT,CDC42SE1
ARNT,KCMF1
ARNT,RAB5C
ARNT,TBCC
ARNT,BZW2
ARNT,MEF2A
ARNT,FBXO31
ARNT,PTBP2
ARNT,SLC38A1
ARNT,PLEKHF1
ARNT,NAIF1
ARNT,ASS1
ARNT,ARL5B
ARNT,NFRKB
ARNT,NFX1
ARNT,SUPT16H
ARNT,WDFY2
ARNT,TAX1BP1
ARNT,TOP1
ARNT,AMN1
ARNT,MPRIP
ARNT,TTC3
ARNT,VAC14
ARNT,KPNA1
ARNT,MAP4K3
ARNT,NPEPPS
ARNT,PGS1
ARNT,ZWINT
ARNT,CNOT11
ARNT,UBE2G2
ARNT,CTDP1
ARNT,UBE3A
ARNT,ZC3H7A
ARNT,GDF15
ARNT,CBX5
ARNT,LSM3
ARNT,MCM4
ARNT,BOD1
ARNT,NFE2L1
ARNT,KNTC1
ARNT,SFI1
ARNT,TXN2
ARNT,TMEM165
ARNT,TCF25
ARNT,WDSUB1
ARNT,SPG7
ARNT,TMEM161B
ARNT,WASL
ARNT,ARPC2
ARNT,KLHL25
ARNT,NUP35
ARNT,DNAJC1
ARNT,COX7A2L
ARNT,MRPS28
ARNT,PUS10
ARNT,IGHMBP2
ARNT,TET2
ARNT,TBC1D22A
ARNT,DNAJB9
ARNT,PKN2
ARNT,ABHD17C
ARNT,ARGLU1
ARNT,BRD7
ARNT,PHF20L1
ARNT,AP4E1
ARNT,RFC3
ARNT,AGO3
ARNT,KLHDC4
ARNT,ZMYM2
ARNT,TESK2
ARNT,TMEM97
ARNT,AKR1B1
ARNT,THUMPD2
ARNT,CCNJL
ARNT,DAB2
ARNT,RNF43
ARNT,MCHR1
ARNT,FMN1
ARNT,HDAC5
ARNT,MRPS22
ARNT,PDPR
ARNT,ARFIP1
ARNT,FAM172A
ARNT,EDC3
ARNT,ANKRD13C
ARNT,METAP1D
ARNT,MCEE
ARNT,SLC9A1
ARNT,TMEM120B
ARNT,PYGL
ARNT,NSUN6
ARNT,PLEKHA7
ARNT,RMI2
ARNT,MS4A7
ARNT,PLEC
ARNT,PIP5KL1
ARNT,PLA2G6
ARNT,PSPC1
ARNT,COQ4
ARNT,MAP3K9
ARNT,OSCP1
ARNT,CHURC1
ARNT,HIF3A
ARNT,ASB7
ARNT,DCAF7
ARNT,YEATS2
ARNT,RECQL5
ARNT,ZNF302
ARNT,ERCC6
ARNT,JMY
ARNT,IL6
ARNT,PPP1R2
ARNT,PRPS1
ARNT,CALR3
ARNT,RBM5
ARNT,F8A1
ARNT,PARP4
ARNT,DNPEP
ARNT,SESN1
ARNT,ZNF2
ARNT,HIF1AN
ARNT,POC1B
ARNT,ZNF548
ARNT,ALG10
ARNT,LYPLAL1
ARNT,TRIM37
ARNT,UHRF1BP1
ARNT,TES
ARNT,ALDH1L1
ARNT,MYO18B
ARNT,PISD
ARNT,CCR7
