from,to
Erg,Cd38
Hif1a,Cd38
Nfatc1,Cd38
Atf4,Cd38
Cd274,Cd38
Kdm6b,Fkbp4
Cd274,Fkbp4
Atf4,Fkbp4
Egr1,Fkbp4
Erg,Fkbp4
Hif1a,Fkbp4
Cnr1,Kdm1a
Nfatc1,Kdm1a
Egr1,Kdm1a
Nkx2-5,Kdm1a
Pdk1,Kdm1a
Nfatc1,Rbm6
Egr1,Rbm6
Nfe2l2,Camkk1
Egr1,Camkk1
Erg,Recql
Dnmt1,Recql
Vegfa,Recql
Hif1a,Recql
Egr1,Recql
Nfatc1,Recql
Igf1,Ccdc132
Nkx2-5,Ccdc132
Erg,Ccdc132
Il11,Hspb6
Egr1,Hspb6
Atf4,Hspb6
Nfatc1,Hspb6
Sox9,Hspb6
Adm,Hspb6
Sox9,Arhgap33
Egr1,Arhgap33
Hif1a,Arhgap33
Hmgb1,Arhgap33
Nfe2l2,Arhgap33
Cd274,Ndufab1
Erg,Ndufab1
Egr1,Ndufab1
Nfatc1,Ndufab1
Nfe2l2,Ndufab1
Flt1,Ndufab1
Hif1a,Pdk4
Sirt1,Pdk4
Nfe2l2,Pdk4
Igf1,Pdk4
Sox9,Pdk4
Il11,Pdk4
Nfe2l2,Slc22a16
Egr1,Slc22a16
Hif1a,Slc22a16
Egr1,Zmynd10
Adm,Zmynd10
Hif1a,Abcb5
Hif1a,Arx
Epas1,Arx
Sox9,Arx
Adm,Arx
Egr1,Arx
Adam17,Arx
Nfatc1,Slc25a13
Nkx2-5,Slc25a13
Sox9,Slc25a13
Egr1,Slc25a13
Il11,Slc25a13
Atf4,St7
Egr1,St7
Nfe2l2,St7
Erg,St7
Dnmt1,St7
Egr1,Cdc27
Kit,Cdc27
Sox9,Cdc27
Hif1a,Cdc27
Vegfa,Cdc27
Nfatc1,Cdc27
Sox9,Slc4a1
Egr1,Slc4a1
Igf1,Slc4a1
Adm,Calcr
Inhba,Calcr
Il33,Calcr
Nfatc1,Calcr
Sox9,Calcr
Sirt1,Calcr
Atf4,Calcr
Egr1,Hccs
Egr1,Dvl2
Nfatc1,Dvl2
Hif1a,Dvl2
Sox9,Dvl2
Dnmt1,Dvl2
Pcdh12,Dvl2
Sox9,Prss22
Nfatc1,Prss22
Hif1a,Prss22
Lin28a,Prss22
Igf1,Prss22
Adm,Prss22
Egr1,Prss22
Pcdh12,Prss22
Atf4,Upf1
Egr1,Upf1
Sox9,Upf1
Egr1,Skap2
Erg,Skap2
Atf4,Skap2
Igf1,Skap2
Nfatc1,Skap2
Egr1,Slc25a5
Cd274,Slc25a5
Nfatc1,Slc25a5
Nfe2l2,Ccdc109b
Egr1,Ccdc109b
Epas1,Ccdc109b
Nfatc1,Ccdc109b
Cd74,Ccdc109b
Adm,Hoxa11
